pair_id,category,product_code_1,product_code_2,higher_rated_product
0,Bacon,182,257,257
1,Bacon,182,334,334
2,Bacon,182,396,396
3,Bacon,182,413,182
4,Bacon,182,491,182
5,Bacon,182,548,182
6,Bacon,182,702,182
7,Bacon,182,859,182
8,Bacon,182,923,182
9,Bacon,257,334,334
10,Bacon,257,396,257
11,Bacon,257,413,257
12,Bacon,257,491,257
13,Bacon,257,548,257
14,Bacon,257,702,257
15,Bacon,257,859,257
16,Bacon,257,923,257
17,Bacon,334,396,334
18,Bacon,334,413,334
19,Bacon,334,491,334
20,Bacon,334,548,334
21,Bacon,334,702,334
22,Bacon,334,859,334
23,Bacon,334,923,334
24,Bacon,396,413,396
25,Bacon,396,491,396
26,Bacon,396,548,396
27,Bacon,396,702,396
28,Bacon,396,859,396
29,Bacon,396,923,396
30,Bacon,413,491,491
31,Bacon,413,548,548
32,Bacon,413,702,702
33,Bacon,413,859,859
34,Bacon,413,923,923
35,Bacon,491,548,491
36,Bacon,491,702,491
37,Bacon,491,859,491
38,Bacon,491,923,491
39,Bacon,548,702,548
40,Bacon,548,859,548
41,Bacon,548,923,548
42,Bacon,702,859,702
43,Bacon,702,923,702
44,Bacon,859,923,923
45,Barista_Milk,182,257,257
46,Barista_Milk,182,396,396
47,Barista_Milk,182,413,182
48,Barista_Milk,182,491,182
49,Barista_Milk,182,548,548
50,Barista_Milk,182,674,674
51,Barista_Milk,182,702,702
52,Barista_Milk,182,859,859
53,Barista_Milk,182,923,923
54,Barista_Milk,257,396,257
55,Barista_Milk,257,413,257
56,Barista_Milk,257,491,257
57,Barista_Milk,257,548,257
58,Barista_Milk,257,674,257
59,Barista_Milk,257,702,257
60,Barista_Milk,257,859,859
61,Barista_Milk,257,923,257
62,Barista_Milk,396,413,396
63,Barista_Milk,396,491,396
64,Barista_Milk,396,674,396
65,Barista_Milk,396,702,702
66,Barista_Milk,396,859,859
67,Barista_Milk,396,923,396
68,Barista_Milk,413,491,491
69,Barista_Milk,413,548,548
70,Barista_Milk,413,674,674
71,Barista_Milk,413,702,702
72,Barista_Milk,413,859,859
73,Barista_Milk,413,923,923
74,Barista_Milk,491,548,548
75,Barista_Milk,491,674,674
76,Barista_Milk,491,702,702
77,Barista_Milk,491,859,859
78,Barista_Milk,491,923,923
79,Barista_Milk,548,674,548
80,Barista_Milk,548,702,702
81,Barista_Milk,548,859,859
82,Barista_Milk,548,923,548
83,Barista_Milk,674,702,702
84,Barista_Milk,674,859,859
85,Barista_Milk,674,923,923
86,Barista_Milk,702,859,859
87,Barista_Milk,702,923,702
88,Barista_Milk,859,923,859
89,Bratwurst,257,334,334
90,Bratwurst,257,396,396
91,Bratwurst,257,413,257
92,Bratwurst,257,548,257
93,Bratwurst,257,674,674
94,Bratwurst,257,702,702
95,Bratwurst,257,859,257
96,Bratwurst,257,923,923
97,Bratwurst,334,396,396
98,Bratwurst,334,413,334
99,Bratwurst,334,548,334
100,Bratwurst,334,674,674
101,Bratwurst,334,702,702
102,Bratwurst,334,859,334
103,Bratwurst,334,923,334
104,Bratwurst,396,413,396
105,Bratwurst,396,548,396
106,Bratwurst,396,674,396
107,Bratwurst,396,702,702
108,Bratwurst,396,859,396
109,Bratwurst,396,923,396
110,Bratwurst,413,548,413
111,Bratwurst,413,674,674
112,Bratwurst,413,702,702
113,Bratwurst,413,859,413
114,Bratwurst,413,923,923
115,Bratwurst,548,674,674
116,Bratwurst,548,702,702
117,Bratwurst,548,859,548
118,Bratwurst,548,923,923
119,Bratwurst,674,702,702
120,Bratwurst,674,859,674
121,Bratwurst,674,923,674
122,Bratwurst,702,859,702
123,Bratwurst,702,923,702
124,Bratwurst,859,923,923
125,Breaded_Chicken_Filet,285,491,491
126,Breaded_Chicken_Filet,285,633,285
127,Breaded_Chicken_Filet,285,651,285
128,Breaded_Chicken_Filet,285,922,922
129,Breaded_Chicken_Filet,491,633,491
130,Breaded_Chicken_Filet,491,651,491
131,Breaded_Chicken_Filet,491,922,491
132,Breaded_Chicken_Filet,633,651,651
133,Breaded_Chicken_Filet,633,922,922
134,Breaded_Chicken_Filet,651,922,922
135,Breakfast_Sausages,182,257,257
136,Breakfast_Sausages,182,334,334
137,Breakfast_Sausages,182,396,396
138,Breakfast_Sausages,182,413,413
139,Breakfast_Sausages,182,491,491
140,Breakfast_Sausages,182,548,548
141,Breakfast_Sausages,182,702,702
142,Breakfast_Sausages,182,859,859
143,Breakfast_Sausages,182,923,923
144,Breakfast_Sausages,257,334,334
145,Breakfast_Sausages,257,396,396
146,Breakfast_Sausages,257,413,413
147,Breakfast_Sausages,257,491,491
148,Breakfast_Sausages,257,548,548
149,Breakfast_Sausages,257,702,702
150,Breakfast_Sausages,257,859,859
151,Breakfast_Sausages,257,923,923
152,Breakfast_Sausages,334,396,334
153,Breakfast_Sausages,334,413,413
154,Breakfast_Sausages,334,491,334
155,Breakfast_Sausages,334,548,334
156,Breakfast_Sausages,334,702,334
157,Breakfast_Sausages,334,859,334
158,Breakfast_Sausages,334,923,334
159,Breakfast_Sausages,396,413,413
160,Breakfast_Sausages,396,491,491
161,Breakfast_Sausages,396,548,548
162,Breakfast_Sausages,396,702,702
163,Breakfast_Sausages,396,859,859
164,Breakfast_Sausages,396,923,396
165,Breakfast_Sausages,413,491,413
166,Breakfast_Sausages,413,548,413
