model,subset,point,ci_lo,ci_hi
BT,C,0.572000,0.523000,0.630000
BT,CI,0.537000,0.483000,0.594000
BT,CT,0.611000,0.571000,0.668000
BT,CTI,0.621000,0.585000,0.673000
BT,I,0.514000,0.458000,0.570000
BT,N,0.498000,0.441000,0.555000
BT,NC,0.570000,0.521000,0.630000
BT,NCI,0.559000,0.506000,0.618000
BT,NCT,0.618000,0.580000,0.677000
BT,NCTI,0.610000,0.571000,0.661000
BT,NI,0.529000,0.478000,0.583000
BT,NT,0.641000,0.602000,0.700000
BT,NTI,0.606000,0.567000,0.658000
BT,T,0.614000,0.574000,0.672000
BT,TI,0.608000,0.570000,0.662000
Cos,C,0.498000,0.440000,0.554000
Cos,CI,0.550000,0.497000,0.608000
Cos,CT,0.487000,0.435000,0.532000
Cos,CTI,0.530000,0.477000,0.587000
Cos,I,0.559000,0.504000,0.622000
Cos,N,0.566000,0.518000,0.625000
Cos,NC,0.545000,0.495000,0.601000
Cos,NCI,0.574000,0.528000,0.635000
Cos,NCT,0.530000,0.483000,0.578000
Cos,NCTI,0.566000,0.519000,0.622000
Cos,NI,0.579000,0.535000,0.635000
Cos,NT,0.558000,0.513000,0.610000
Cos,NTI,0.568000,0.521000,0.623000
Cos,T,0.499000,0.442000,0.549000
Cos,TI,0.544000,0.493000,0.598000
HBT,C,0.565000,0.516000,0.623000
HBT,CI,0.580000,0.537000,0.636000
HBT,CT,0.539000,0.485000,0.598000
HBT,CTI,0.622000,0.581000,0.680000
HBT,I,0.540000,0.487000,0.596000
HBT,N,0.493000,0.437000,0.544000
HBT,NC,0.563000,0.514000,0.616000
HBT,NCI,0.591000,0.548000,0.649000
HBT,NCT,0.534000,0.479000,0.593000
HBT,NCTI,0.613000,0.570000,0.670000
HBT,NI,0.539000,0.487000,0.595000
HBT,NT,0.548000,0.495000,0.603000
HBT,NTI,0.630000,0.590000,0.689000
HBT,T,0.567000,0.517000,0.622000
HBT,TI,0.623000,0.582000,0.680000
KSVM,C,0.563000,0.516000,0.618000
KSVM,CI,0.576000,0.528000,0.635000
KSVM,CT,0.619000,0.581000,0.678000
KSVM,CTI,0.619000,0.580000,0.675000
KSVM,I,0.512000,0.458000,0.566000
KSVM,N,0.509000,0.459000,0.565000
KSVM,NC,0.559000,0.511000,0.616000
KSVM,NCI,0.573000,0.524000,0.631000
KSVM,NCT,0.617000,0.579000,0.675000
KSVM,NCTI,0.618000,0.579000,0.674000
KSVM,NI,0.510000,0.455000,0.564000
KSVM,NT,0.595000,0.550000,0.652000
KSVM,NTI,0.612000,0.573000,0.671000
KSVM,T,0.597000,0.552000,0.654000
KSVM,TI,0.613000,0.575000,0.672000
L2,C,0.504000,0.444000,0.559000
L2,CI,0.555000,0.503000,0.616000
L2,CT,0.497000,0.443000,0.546000
L2,CTI,0.551000,0.501000,0.609000
L2,I,0.569000,0.514000,0.633000
L2,N,0.549000,0.497000,0.610000
L2,NC,0.541000,0.490000,0.599000
L2,NCI,0.571000,0.524000,0.632000
L2,NCT,0.550000,0.499000,0.606000
L2,NCTI,0.591000,0.547000,0.650000
L2,NI,0.581000,0.537000,0.640000
L2,NT,0.561000,0.515000,0.618000
L2,NTI,0.587000,0.539000,0.645000
L2,T,0.520000,0.468000,0.572000
L2,TI,0.577000,0.529000,0.633000
LGBM,C,0.548000,0.500000,0.602000
LGBM,CI,0.543000,0.487000,0.602000
LGBM,CT,0.557000,0.505000,0.616000
LGBM,CTI,0.539000,0.484000,0.596000
LGBM,I,0.473000,0.417000,0.525000
LGBM,N,0.511000,0.454000,0.565000
LGBM,NC,0.543000,0.489000,0.602000
LGBM,NCI,0.521000,0.468000,0.575000
LGBM,NCT,0.587000,0.537000,0.647000
LGBM,NCTI,0.558000,0.509000,0.615000
LGBM,NI,0.511000,0.457000,0.566000
LGBM,NT,0.560000,0.512000,0.617000
LGBM,NTI,0.539000,0.487000,0.595000
LGBM,T,0.546000,0.491000,0.602000
LGBM,TI,0.500000,0.444000,0.553000
Ridge,C,0.547000,0.497000,0.603000
Ridge,CI,0.471000,0.410000,0.522000
Ridge,CT,0.589000,0.544000,0.645000
Ridge,CTI,0.575000,0.529000,0.628000
Ridge,I,0.411000,0.350000,0.453000
Ridge,N,0.447000,0.389000,0.498000
Ridge,NC,0.548000,0.499000,0.605000
Ridge,NCI,0.504000,0.448000,0.558000
Ridge,NCT,0.606000,0.566000,0.665000
Ridge,NCTI,0.579000,0.534000,0.632000
Ridge,NI,0.440000,0.383000,0.487000
Ridge,NT,0.589000,0.543000,0.649000
Ridge,NTI,0.586000,0.541000,0.646000
Ridge,T,0.594000,0.548000,0.658000
Ridge,TI,0.595000,0.551000,0.654000
