ingredient_agg,model,scope,point,ci_lo,ci_hi
log_weighted_average,bt,all_pairs,0.610160,0.571123,0.661669
log_weighted_average,bt,within_block,0.577411,0.504032,0.640451
log_weighted_average,nnls,all_pairs,0.682888,0.654545,0.740107
log_weighted_average,nnls,within_block,0.661168,0.598910,0.713749
max,bt,all_pairs,0.604813,0.565775,0.657286
max,bt,within_block,0.572335,0.508630,0.630687
max,nnls,all_pairs,0.678610,0.648663,0.739649
max,nnls,within_block,0.661168,0.599731,0.717312
mean,bt,all_pairs,0.591979,0.550802,0.644893
mean,bt,within_block,0.554569,0.486571,0.615878
mean,nnls,all_pairs,0.673262,0.641711,0.729788
mean,nnls,within_block,0.656091,0.595052,0.712949
top3_by_conc,bt,all_pairs,0.650802,0.620856,0.701607
top3_by_conc,bt,within_block,0.607868,0.533625,0.670053
top3_by_conc,nnls,all_pairs,0.685027,0.657219,0.737433
top3_by_conc,nnls,within_block,0.648477,0.584577,0.705151
weighted_average,bt,all_pairs,0.621925,0.585561,0.675936
weighted_average,bt,within_block,0.612944,0.553996,0.669983
weighted_average,nnls,all_pairs,0.676471,0.647059,0.730153
weighted_average,nnls,within_block,0.651015,0.588216,0.706538
