model,category,point,ci_lo,ci_hi
BT,Bacon,0.511111,0.222222,0.788889
BT,Barista_Milk,0.700000,0.521432,0.888889
BT,Bratwurst,0.638889,0.375000,0.875000
BT,Breaded_Chicken_Filet,0.800000,0.300000,0.950000
BT,Breakfast_Sausages,0.577778,0.377778,0.711111
BT,Burgers,0.800000,0.622222,0.922222
BT,Butter,0.688889,0.455556,0.877778
BT,Cheddar_Cheese,0.660714,0.303571,0.892857
BT,Chicken_Strips,0.533333,0.244444,0.822222
BT,Cream_Cheese,0.600000,0.322222,0.811111
BT,Creamer,0.722222,0.361111,0.888889
BT,Deli_Ham,0.708333,0.458333,0.875000
BT,Deli_Turkey,0.714286,0.380952,0.904762
BT,Hot_Dogs,0.755556,0.588889,0.922222
BT,Ice_Cream_Hard_Serve,0.711111,0.477778,0.888889
BT,Meatballs,0.100000,0.050000,0.250000
BT,Milk,0.692810,0.594771,0.800654
BT,Mozzarella,0.214286,0.089286,0.428571
BT,Nuggets,0.355556,0.155556,0.555556
BT,Pulled_Pork,0.333333,0.095238,0.619048
BT,Sour_Cream,0.500000,0.100000,0.900000
BT,Steak,0.555556,0.222222,0.805556
BT,Unbreaded_Chicken_Breast,0.600000,0.366667,0.800000
BT,Yogurt,0.133333,0.066667,0.300000
BT+Gemini,Bacon,0.533333,0.288889,0.777778
BT+Gemini,Barista_Milk,0.811111,0.655556,0.933333
BT+Gemini,Bratwurst,0.666667,0.375000,0.875000
BT+Gemini,Breaded_Chicken_Filet,0.300000,0.100000,0.700000
BT+Gemini,Breakfast_Sausages,0.644444,0.333333,0.900000
BT+Gemini,Burgers,0.800000,0.600000,0.933333
BT+Gemini,Butter,0.711111,0.477778,0.833333
BT+Gemini,Cheddar_Cheese,0.732143,0.589286,0.910714
BT+Gemini,Chicken_Strips,0.577778,0.388889,0.777778
BT+Gemini,Cream_Cheese,0.777778,0.477778,0.922222
BT+Gemini,Creamer,0.833333,0.625000,0.944444
BT+Gemini,Deli_Ham,0.541667,0.250000,0.819444
BT+Gemini,Deli_Turkey,0.809524,0.571429,0.952381
BT+Gemini,Hot_Dogs,0.733333,0.566667,0.888889
BT+Gemini,Ice_Cream_Hard_Serve,0.533333,0.333333,0.788889
BT+Gemini,Meatballs,0.600000,0.100000,0.900000
BT+Gemini,Milk,0.830065,0.715686,0.928105
BT+Gemini,Mozzarella,0.464286,0.160714,0.785714
BT+Gemini,Nuggets,0.333333,0.155556,0.611111
BT+Gemini,Pulled_Pork,0.571429,0.333333,0.833333
BT+Gemini,Sour_Cream,0.600000,0.250000,0.900000
BT+Gemini,Steak,0.777778,0.541667,0.902778
BT+Gemini,Unbreaded_Chicken_Breast,0.800000,0.600000,0.911111
BT+Gemini,Yogurt,0.400000,0.133333,0.700000
Gemini,Bacon,0.555556,0.322222,0.788889
Gemini,Barista_Milk,0.766667,0.633333,0.922222
Gemini,Bratwurst,0.694444,0.402778,0.902778
Gemini,Breaded_Chicken_Filet,0.300000,0.100000,0.700000
Gemini,Breakfast_Sausages,0.588889,0.311111,0.844444
Gemini,Burgers,0.755556,0.544444,0.911111
Gemini,Butter,0.688889,0.444444,0.833333
Gemini,Cheddar_Cheese,0.767857,0.607143,0.928571
Gemini,Chicken_Strips,0.522222,0.366667,0.744444
Gemini,Cream_Cheese,0.666667,0.377778,0.855556
Gemini,Creamer,0.875000,0.777778,0.958333
Gemini,Deli_Ham,0.458333,0.180556,0.763889
Gemini,Deli_Turkey,0.666667,0.333333,0.857143
Gemini,Hot_Dogs,0.666667,0.355556,0.855556
Gemini,Ice_Cream_Hard_Serve,0.466667,0.255556,0.755556
Gemini,Meatballs,0.600000,0.100000,0.900000
Gemini,Milk,0.699346,0.535948,0.833333
Gemini,Mozzarella,0.589286,0.267857,0.910714
Gemini,Nuggets,0.533333,0.322222,0.755556
Gemini,Pulled_Pork,0.666667,0.357143,0.904762
Gemini,Sour_Cream,0.600000,0.250000,0.900000
Gemini,Steak,0.833333,0.722222,0.930556
Gemini,Unbreaded_Chicken_Breast,0.755556,0.522222,0.911111
Gemini,Yogurt,0.466667,0.133333,0.733333
