category,point,ci_lo,ci_hi
Bacon,0.533333,0.288889,0.777778
Barista_Milk,0.811111,0.655556,0.933333
Bratwurst,0.666667,0.375000,0.875000
Breaded_Chicken_Filet,0.300000,0.100000,0.700000
Breakfast_Sausages,0.644444,0.333333,0.900000
Burgers,0.800000,0.600000,0.933333
Butter,0.711111,0.477778,0.833333
Cheddar_Cheese,0.732143,0.589286,0.910714
Chicken_Strips,0.577778,0.388889,0.777778
Cream_Cheese,0.777778,0.477778,0.922222
Creamer,0.833333,0.625000,0.944444
Deli_Ham,0.541667,0.250000,0.819444
Deli_Turkey,0.809524,0.571429,0.952381
Hot_Dogs,0.733333,0.566667,0.888889
Ice_Cream_Hard_Serve,0.533333,0.333333,0.788889
Meatballs,0.600000,0.100000,0.900000
Milk,0.830065,0.715686,0.928105
Mozzarella,0.464286,0.160714,0.785714
Nuggets,0.333333,0.155556,0.611111
Pulled_Pork,0.571429,0.333333,0.833333
Sour_Cream,0.600000,0.250000,0.900000
Steak,0.777778,0.541667,0.902778
Unbreaded_Chicken_Breast,0.800000,0.600000,0.911111
Yogurt,0.400000,0.133333,0.700000
