row,metric,point,ci_lo,ci_hi
bt,spearman,0.265872,0.155920,0.402433
bt,kendall_tau,0.178000,0.064272,0.287379
bt,pairwise_accuracy,0.610160,0.570588,0.660963
bt,recall_at_1,0.250000,0.180556,0.422402
bt,recall_at_2,0.291667,0.125000,0.395833
bt,recall_at_3,0.375000,0.187448,0.458333
gemini,spearman,0.370471,0.250171,0.508916
gemini,kendall_tau,0.298412,0.179225,0.409356
gemini,pairwise_accuracy,0.654011,0.618717,0.713196
gemini,recall_at_1,0.270833,0.166667,0.423611
gemini,recall_at_2,0.513889,0.475694,0.701262
gemini,recall_at_3,0.577778,0.491071,0.786331
hbt,spearman,0.228071,0.098098,0.382680
hbt,kendall_tau,0.165288,0.042565,0.282967
hbt,pairwise_accuracy,0.613369,0.570053,0.670053
hbt,recall_at_1,0.333333,0.270833,0.526284
hbt,recall_at_2,0.500000,0.423611,0.741528
hbt,recall_at_3,0.666667,0.621528,0.853988
ksvm,spearman,0.288155,0.168223,0.437792
ksvm,kendall_tau,0.206253,0.088423,0.321282
ksvm,pairwise_accuracy,0.617647,0.579144,0.674332
ksvm,recall_at_1,0.166667,0.040222,0.250000
ksvm,recall_at_2,0.291667,0.115356,0.395833
ksvm,recall_at_3,0.416667,0.196468,0.520833
lgbm,spearman,0.135568,-0.002991,0.293208
lgbm,kendall_tau,0.091870,-0.031829,0.218622
lgbm,pairwise_accuracy,0.557754,0.508556,0.614973
lgbm,recall_at_1,0.291667,0.250000,0.437500
lgbm,recall_at_2,0.333333,0.208333,0.491202
lgbm,recall_at_3,0.458333,0.333333,0.645833
mean,spearman,0.310048,0.200623,0.443179
mean,kendall_tau,0.216302,0.102239,0.320550
mean,pairwise_accuracy,0.622995,0.586631,0.674613
mean,recall_at_1,0.166667,0.034722,0.250000
mean,recall_at_2,0.375000,0.260417,0.548611
mean,recall_at_3,0.416667,0.218925,0.500000
mmrf_cos,spearman,0.211642,0.076860,0.380378
mmrf_cos,kendall_tau,0.151003,0.022655,0.277786
mmrf_cos,pairwise_accuracy,0.574332,0.527807,0.635294
mmrf_cos,recall_at_1,0.208333,0.104167,0.322917
mmrf_cos,recall_at_2,0.291667,0.135417,0.395833
mmrf_cos,recall_at_3,0.333333,0.180601,0.379167
mmrf_l2,spearman,0.201878,0.064318,0.357631
mmrf_l2,kendall_tau,0.152713,0.030639,0.277378
mmrf_l2,pairwise_accuracy,0.570588,0.523529,0.632257
mmrf_l2,recall_at_1,0.222222,0.104167,0.334722
mmrf_l2,recall_at_2,0.402778,0.284722,0.576389
mmrf_l2,recall_at_3,0.541667,0.437500,0.729368
nnls,spearman,0.416641,0.313544,0.550302
nnls,kendall_tau,0.321715,0.210952,0.426780
nnls,pairwise_accuracy,0.682888,0.654011,0.740054
nnls,recall_at_1,0.291667,0.187500,0.451389
nnls,recall_at_2,0.500000,0.423611,0.692810
nnls,recall_at_3,0.541667,0.385417,0.687500
qwen,spearman,0.320435,0.202857,0.458760
qwen,kendall_tau,0.255317,0.140910,0.365186
qwen,pairwise_accuracy,0.629947,0.590909,0.687503
qwen,recall_at_1,0.229167,0.131944,0.354167
qwen,recall_at_2,0.354167,0.215278,0.482639
qwen,recall_at_3,0.500000,0.375000,0.656250
rankavg,spearman,0.398221,0.293494,0.537233
rankavg,kendall_tau,0.303811,0.191819,0.409049
rankavg,pairwise_accuracy,0.670588,0.640642,0.725134
rankavg,recall_at_1,0.263889,0.181944,0.427083
rankavg,recall_at_2,0.361111,0.211111,0.486111
rankavg,recall_at_3,0.520833,0.375000,0.677083
ridge,spearman,0.160416,0.028385,0.302111
ridge,kendall_tau,0.114839,-0.004883,0.226426
ridge,pairwise_accuracy,0.579144,0.534225,0.631777
ridge,recall_at_1,0.250000,0.180556,0.434960
ridge,recall_at_2,0.291667,0.118056,0.395833
ridge,recall_at_3,0.541667,0.493056,0.749278
