oof,pairwise_accuracy_point,pairwise_accuracy_lo,pairwise_accuracy_hi,spearman_point,spearman_lo,spearman_hi,kendall_tau_point,kendall_tau_lo,kendall_tau_hi,recall_at_1_point,recall_at_1_lo,recall_at_1_hi,recall_at_2_point,recall_at_2_lo,recall_at_2_hi,recall_at_3_point,recall_at_3_lo,recall_at_3_hi
llm_gemini_3_1_pro_preview_image,0.589305,0.543850,0.648128,0.266902,0.143434,0.423135,0.194294,0.071115,0.318504,0.229167,0.097222,0.355556,0.486111,0.416667,0.672806,0.555556,0.420441,0.728884
llm_gemini_3_1_pro_preview_ingredients,0.606952,0.565775,0.664171,0.258854,0.135982,0.404324,0.201252,0.080512,0.317021,0.291667,0.216667,0.489936,0.416667,0.291667,0.593589,0.597222,0.541667,0.777224
llm_gemini_3_1_pro_preview_ingredients_image,0.654011,0.618717,0.713196,0.370471,0.250171,0.508916,0.298412,0.179225,0.409356,0.270833,0.166667,0.423611,0.513889,0.475694,0.701262,0.577778,0.491071,0.786331
llm_gemini_3_1_pro_preview_ingredients_nutrition,0.622460,0.579144,0.682353,0.293274,0.163190,0.439480,0.231976,0.105939,0.348733,0.263889,0.170139,0.420139,0.381944,0.237500,0.530432,0.520833,0.406250,0.704856
llm_gemini_3_1_pro_preview_ingredients_nutrition_image,0.624599,0.582353,0.687166,0.303270,0.183374,0.456487,0.228673,0.109749,0.342666,0.187500,0.060446,0.284722,0.354167,0.222222,0.502778,0.520833,0.423611,0.725311
llm_gemini_3_1_pro_preview_nutrition,0.591979,0.542781,0.655440,0.227712,0.088125,0.382333,0.175441,0.046565,0.297791,0.166667,0.032183,0.260417,0.305556,0.138889,0.430556,0.444444,0.267444,0.583333
llm_gemini_3_1_pro_preview_nutrition_image,0.609626,0.565983,0.671123,0.284155,0.157848,0.435016,0.225663,0.103772,0.343489,0.201389,0.104167,0.319444,0.361111,0.253472,0.520635,0.395833,0.209896,0.462500
llm_qwen3_5_397b_a17b_image,0.571658,0.525668,0.627273,0.139056,0.000624,0.280266,0.121308,0.002403,0.238861,0.125000,0.020833,0.201389,0.166667,0.020977,0.208333,0.326389,0.147716,0.436806
llm_qwen3_5_397b_a17b_ingredients,0.587701,0.540107,0.647594,0.225766,0.088791,0.377165,0.176298,0.047902,0.299717,0.229167,0.147222,0.385417,0.364583,0.256944,0.530594,0.479167,0.346528,0.634722
llm_qwen3_5_397b_a17b_ingredients_image,0.629947,0.590909,0.687503,0.320435,0.202857,0.458760,0.255317,0.140910,0.365186,0.229167,0.131944,0.354167,0.354167,0.215278,0.482639,0.500000,0.375000,0.656250
llm_qwen3_5_397b_a17b_ingredients_nutrition,0.604278,0.557754,0.664906,0.280780,0.153481,0.429268,0.212685,0.094037,0.330542,0.222222,0.111111,0.344328,0.402778,0.274306,0.562500,0.583333,0.497222,0.768179
llm_qwen3_5_397b_a17b_ingredients_nutrition_image,0.602674,0.555615,0.664171,0.245181,0.111784,0.389967,0.193254,0.071756,0.311640,0.208333,0.104167,0.319444,0.270833,0.115510,0.354167,0.354167,0.168153,0.427083
llm_qwen3_5_397b_a17b_nutrition,0.586631,0.537433,0.645968,0.233990,0.103662,0.391195,0.162041,0.031286,0.280415,0.104167,0.000000,0.145833,0.263889,0.076512,0.354167,0.527778,0.424306,0.720297
llm_qwen3_5_397b_a17b_nutrition_image,0.572727,0.526203,0.632086,0.189241,0.056227,0.344039,0.144648,0.020554,0.265388,0.180556,0.084722,0.284722,0.319444,0.195691,0.444444,0.416667,0.264583,0.534722
