category,block_id,respondent,n_analogs,n_pairs,pairwise_accuracy,spearman,recall_at_1,recall_at_3
Bacon,0,1,5,10,0.5,0.0,0.0,1.0
Bacon,0,2,5,10,0.6,0.3689323936863109,0.0,1.0
Bacon,0,3,5,10,0.5,,0.2,0.6
Bacon,0,5,5,10,0.65,0.35909242322980395,0.0,1.0
Bacon,0,13,5,10,0.75,0.7181848464596079,0.0,1.0
Bacon,0,17,5,10,0.35,-0.3354101966249684,0.0,0.3333333333333333
Bacon,0,18,5,10,0.75,0.5642880936468347,0.5,1.0
Bacon,0,22,5,10,0.65,0.5642880936468347,0.0,1.0
Bacon,0,24,5,10,0.6,0.35355339059327373,0.0,0.5
Bacon,0,26,5,10,0.5,0.0,0.0,0.5
Bacon,0,31,5,10,0.6,0.31622776601683794,0.5,1.0
Bacon,0,34,5,10,0.9,0.9486832980505138,0.5,1.0
Bacon,0,37,5,10,0.55,0.10259783520851541,0.0,0.5
Bacon,0,38,5,10,0.5,,0.2,0.6
Bacon,0,39,5,10,0.8,0.8660254037844386,0.5,1.0
Bacon,0,42,5,10,0.7,0.49999999999999994,0.0,1.0
Bacon,0,46,5,10,0.7,0.5773502691896257,0.3333333333333333,1.0
Bacon,0,47,5,10,0.7,0.7071067811865475,1.0,1.0
Bacon,0,48,5,10,0.3,-0.7071067811865475,0.0,0.5
Bacon,0,49,5,10,0.85,0.8944271909999157,1.0,1.0
Bacon,0,51,5,10,0.7,0.5797509043642028,0.0,1.0
Bacon,0,53,5,10,0.45,-0.051298917604257706,0.0,1.0
Bacon,0,54,5,10,0.55,0.15389675281277312,0.0,1.0
Bacon,0,56,5,10,0.8,0.8660254037844386,0.3333333333333333,1.0
Bacon,0,58,5,10,0.5,0.0,0.0,0.5
Bacon,0,61,5,10,0.5,0.0,0.0,0.5
Bacon,0,62,5,10,0.85,0.8207826816681233,0.5,1.0
Bacon,0,67,5,10,0.55,0.22360679774997894,0.3333333333333333,1.0
Bacon,0,69,5,10,0.5,,0.2,0.6
Bacon,0,72,5,10,0.45,-0.20519567041703082,0.0,1.0
Bacon,0,74,5,10,0.7,0.4743416490252569,0.5,1.0
Bacon,0,75,5,10,0.7,0.5773502691896257,0.5,1.0
Bacon,0,77,5,10,0.75,0.6708203932499368,1.0,1.0
Bacon,0,81,5,10,0.65,0.3354101966249684,0.0,0.3333333333333333
Bacon,0,83,5,10,0.7,0.7071067811865475,1.0,1.0
Bacon,0,91,5,10,0.35,-0.41039134083406165,0.0,0.5
Bacon,0,92,5,10,0.75,0.7826237921249264,0.0,1.0
Bacon,0,93,5,10,0.7,0.6324555320336759,0.0,1.0
Bacon,0,97,5,10,0.75,0.6708203932499368,1.0,1.0
Bacon,0,99,5,10,0.65,0.44721359549995787,1.0,1.0
Bacon,0,100,5,10,0.75,0.7826237921249264,0.0,1.0
Bacon,0,104,5,10,0.5,,0.2,0.6
Bacon,0,105,5,10,0.5,,0.2,0.6
Bacon,0,107,5,10,0.7,0.4743416490252569,0.5,1.0
Bacon,0,109,5,10,0.85,0.8944271909999157,0.3333333333333333,1.0
Bacon,0,110,5,10,0.65,0.44721359549995787,1.0,1.0
Bacon,0,111,5,10,0.35,-0.3354101966249684,0.0,0.3333333333333333
Bacon,0,112,5,10,0.75,0.6708203932499368,1.0,1.0
Bacon,0,113,5,10,0.6,0.35355339059327373,0.0,0.5
Bacon,0,115,5,10,0.95,0.9746794344808964,1.0,1.0
Bacon,0,116,5,10,0.45,-0.11180339887498947,0.0,0.3333333333333333
Bacon,0,118,5,10,0.65,0.44721359549995787,0.0,0.6666666666666666
Bacon,0,119,5,10,0.5,,0.2,0.6
Bacon,0,121,5,10,0.5,0.0,0.0,0.5
Bacon,0,122,5,10,0.65,0.44721359549995787,0.0,0.6666666666666666
Bacon,0,124,5,10,0.5,0.0,0.5,1.0
Bacon,0,126,5,10,0.65,0.44721359549995787,0.0,1.0
Bacon,0,128,5,10,0.6,0.15811388300841897,0.0,0.0
Bacon,0,129,5,10,0.7,0.6324555320336759,0.5,1.0
Bacon,0,130,5,10,0.5,,0.2,0.6
