category,block_id,n_respondents,n_products,krippendorff_alpha,kendall_w
Bacon,0,100,5,0.052344097335244366,0.076825
Bacon,1,92,5,0.047712311845612865,0.08159853497164461
Barista_Milk,0,108,5,0.08955962611226664,0.11703532235939644
Barista_Milk,1,103,5,0.11599688464849345,0.15204543312282023
Bratwurst,0,106,4,0.08911003768011916,0.14110893556425774
Bratwurst,1,99,5,0.060729597165757765,0.07702275278032854
Breaded_Chicken_Filet,0,78,5,0.0034536024129796505,0.021556541748849443
Breakfast_Sausages,0,72,5,0.024626128921953594,0.05187114197530864
Breakfast_Sausages,1,52,5,0.02808976295532417,0.05885724852071006
Burgers,0,113,5,0.02185464971715345,0.04306132038530817
Burgers,1,88,5,0.16265375844960328,0.2136169938016529
Butter,0,102,5,0.12440132782665869,0.16412918108419838
Butter,1,101,5,0.05077856060731667,0.074928928536418
Cheddar_Cheese,0,104,3,0.02592994058889475,0.049163276627218935
Cheddar_Cheese,1,103,5,0.022703612734146783,0.03518710528796305
Chicken_Strips,0,98,5,-0.00517401495852865,0.004138900458142441
Chicken_Strips,1,91,5,0.049673046533339926,0.10868856418306967
Cream_Cheese,0,101,5,0.18489380200244432,0.24415743554553476
Cream_Cheese,1,100,5,0.17582344982709508,0.2477
Creamer,0,113,4,0.2320911011338781,0.2715561124598637
Creamer,1,96,5,0.10454451331495462,0.13158094618055555
Deli_Ham,0,105,5,0.11029534726971257,0.1320498866213152
Deli_Ham,1,98,4,0.01255689001635385,0.027686380674718868
Deli_Turkey,0,101,3,0.12110063043480557,0.25441133222233114
Deli_Turkey,1,100,4,0.0468208258591164,0.09337
Hot_Dogs,0,88,5,0.13971767282425518,0.1944473140495868
Hot_Dogs,1,78,5,0.019566680845458095,0.054972057856673244
Hot_Dogs,2,20,4,0.03467539580130463,0.11925
Ice_Cream_Hard_Serve,0,103,5,0.03439046968013593,0.06571307380525969
Ice_Cream_Hard_Serve,1,80,5,0.19324751167388465,0.2305
Meatballs,0,99,5,0.170350933104936,0.2232833384348536
Milk,0,110,4,0.08554545371667521,0.1292892561983471
Milk,1,104,4,0.005796414660103277,0.02197670118343195
Milk,2,102,5,0.16094599590155467,0.2195165321030373
Milk,3,102,5,0.12357908406320417,0.2061178392925798
Mozzarella,0,114,4,0.108490523601797,0.16645891043397967
Mozzarella,1,102,4,0.007185701194280858,0.02046328335255671
Nuggets,0,106,3,0.10234016489329589,0.17183606265574938
Nuggets,1,79,3,0.016437929354278458,0.040898894407947445
Nuggets,2,57,4,0.05197656259137451,0.0814712219144352
Pulled_Pork,0,103,4,0.059767271156062285,0.08425864831746631
Pulled_Pork,1,101,3,0.09265257096668433,0.1378051171453779
Sour_Cream,0,104,5,0.09024591270472582,0.10795118343195266
Steak,0,95,5,0.11223189746978546,0.1861218836565097
Steak,1,91,4,0.04927361807695552,0.09775389445719115
Unbreaded_Chicken_Breast,0,103,5,0.04133678750578573,0.06630219624846828
Unbreaded_Chicken_Breast,1,94,5,0.0568026148716676,0.10297080126754188
Yogurt,0,105,4,0.08616337392511397,0.12186848072562358
Yogurt,1,100,2,-0.004240481611429647,0.0009
