category,human_median_pairwise_accuracy,model_pairwise_accuracy,human_median_spearman,model_spearman,n_products
Bacon,0.65,0.5333333333333333,0.44721359549995787,0.09090909090909088,10
Barista_Milk,0.65,0.8111111111111111,0.35909242322980395,0.8206724839680872,10
Bratwurst,0.65,0.6666666666666666,0.39999999999999997,0.45,9
Breaded_Chicken_Filet,0.525,0.3,0.20519567041703082,-0.6,5
Breakfast_Sausages,0.6,0.6444444444444445,0.26352313834736496,0.38181818181818183,10
Burgers,0.65,0.8,0.41039134083406165,0.7575757575757575,10
Butter,0.65,0.7111111111111111,0.44721359549995787,0.6363636363636362,10
Cheddar_Cheese,0.5,0.7321428571428571,0.0,0.6946232319096901,8
Chicken_Strips,0.55,0.5777777777777777,0.21081851067789192,0.16363636363636364,10
Cream_Cheese,0.7,0.7777777777777778,0.6077935056255462,0.6848484848484848,10
Creamer,0.75,0.8333333333333334,0.632455532033676,0.8166666666666667,9
Deli_Ham,0.5833333333333334,0.5416666666666666,0.3120106358211921,0.11715583722580122,9
Deli_Turkey,0.6666666666666666,0.8095238095238095,0.55,0.7500000000000002,7
Hot_Dogs,0.625,0.7333333333333333,0.35355339059327373,0.6969696969696969,10
Ice_Cream_Hard_Serve,0.6,0.5333333333333333,0.35909242322980395,0.09090909090909088,10
Meatballs,0.7,0.6,0.6668859288553501,0.3,5
Milk,0.6583333333333333,0.8300653594771242,0.4472135954999579,0.7977296181630547,18
Mozzarella,0.5833333333333334,0.4642857142857143,0.39999999999999997,-0.11904761904761905,8
Nuggets,0.6666666666666666,0.3333333333333333,0.5,-0.4545454545454545,10
Pulled_Pork,0.6666666666666666,0.5714285714285714,0.5,0.21428571428571433,7
Sour_Cream,0.65,0.6,0.35909242322980395,0.19999999999999998,5
Steak,0.5833333333333334,0.7777777777777778,0.35355339059327373,0.7333333333333334,9
Unbreaded_Chicken_Breast,0.65,0.8,0.35909242322980395,0.7818181818181817,10
Yogurt,0.5833333333333334,0.4,0.632455532033676,-0.2,6
