id,canonicalized_smiles,taste
0,COC(=O)c1cccc(CCc2ccc(OC)c(O)c2)c1,undefined
1,CCCCCC(=Cc1ccccc1)COC(=O)CC(C)C,undefined
2,CC=C(C)C(CCC(C)CCCC(C)C(C)CCC(C)C)OC1C(CO)OC(Oc2cc(O)c3c(=O)c(O)c(-c4ccc(OC)c(OC)c4)oc3c2)C(O)C1O,sweet
3,CCC(C)C(N)C(=O)NC(Cc1ccccc1)C(=O)NC(CC(=O)O)C(=O)NC(CC(N)=O)C(=O)O,sweet
4,CCOC1OC(CO)C(O)C(OC2OC(CO)C(O)C(O)C2O)C1O,sweet
5,COc1cc(-c2cc(=O)c3c(O)cc(OC4OC(C)C(O)C(O)C4OC4OC(C)C(O)C(O)C4O)cc3o2)ccc1OC=CCC(C)=O,sweet
6,COC(=O)C(CN)NC(=O)CCc1ccccc1,sweet
7,CC(C)=CCCC(C)=CC(C)O,undefined
8,C=CCOC(=O)CCC1CCCCC1,sweet
9,C=C1CC23CCC4C(C)(C(=O)OC5OC(CO)C(O)C(O)C5O)CCCC4(C)C2CCC1(OC)C3,sweet
10,CCCCCC1OCC(C)O1,undefined
11,O=C(O)c1ccc(C2CCC2)cc1,sour
12,C=CCSSSC,undefined
13,CCCCCOCC1(O)OCC(O)C(O)C1O,sweet
14,CC(=O)OC1CC(C)(C(=O)O)CC2C3=CCC4C5(C)CCC(OC6OC(C(=O)O)C(O)C(O)C6OC6OC(CO)C(O)C(O)C6OC6OC(C)C(O)C(O)C6O)C(C)(CO)C5CCC4(C)C3(C)CCC12C,sweet
15,CSc1ccc(C2CSc3ccccc3O2)cc1O,undefined
16,CCC(C)C(NC(=O)C(N)C(C)C)C(=O)NC(Cc1ccccc1)C(=O)NC(CC(C)C)C(=O)NC(C)C(=O)NC(CC(=O)O)C(=O)NC(C(=O)NC(CCCCN)C(=O)O)C(C)C,sweet
17,CCCCCCCCOC=O,undefined
18,COC(=O)c1ccc(CCc2ccc(OC)c(O)c2)cc1,undefined
19,COc1ccc(C2CC(=O)c3c(O)cc(OC4OC(COC5OC(C)C(O)C(O)C5OC)C(O)C(O)C4O)cc3O2)cc1OC,sweet
20,COc1ccc(-c2coc3cc(OC4OC(COC(=O)CC(=O)O)C(O)C(O)C4O)ccc3c2=O)cc1O,sweet
21,O=C(O)C1(O)CCCCCC1,sour
22,O=c1o[nH]c(-c2ccccc2)c1Br,sour
23,CCCCCCOC1OC(CO)C(O)C(O)C1OC1OC(CO)C(O)C(O)C1O,sweet
24,OCC(O)C(O)C(O)C1OC(O)C(O)C1O,sweet
25,Cc1ccc(N=NC(=NNc2ccccc2)c2ccccc2)cc1,sweet
26,O=C(O)C1C2CCC(CC2)C1C(=O)O,sour
27,Oc1cncnc1,sour
28,CCC(C)C(NC(=O)C(Cc1ccccc1)NC(=O)C(N)CC(=O)O)C(=O)NC(CC(=O)O)C(=O)O,sweet
29,Nc1nc(F)nc2c1ncn2C1OC(COP(=O)(O)OP(=O)(O)OP(=O)(O)OP(=O)(O)O)C(O)C1O,sweet
30,COc1ccc(-c2coc3cc(OC4OC(CO)C(O)C(O)C4O)ccc3c2=O)cc1O,sweet
31,OCC(O)C(O)C(O)C=[Se],sweet
32,O=C(O)CS,sour
33,CCCCCCCCOC(=O)CCCCCCC,undefined
34,CCCOC(=O)c1ccccc1,undefined
35,CCCCCC1C(=O)CCC1CC(=O)OC,undefined
36,OCCCCC(O)COC1OC(CO)C(O)C(O)C1O,sweet
37,COC1OC(CO)(OC)C2OC(C)(C)OC2C1O,sweet
38,CSCCC(NC(=O)C(N)CC(=O)O)C(=O)NC(Cc1ccccc1)C(=O)O,sweet
39,SCS,undefined
40,CC(=O)OC1C2C(Cc3occc3C2(C)O)C2(C)C(=O)CCC(C)(C)C2(O)C1OC(C)=O,bitter
41,CC(C)CC(NC(=O)C(Cc1ccccc1)NC(=O)C(CC(N)=O)NC(=O)C(N)CC(=O)O)C(=O)O,sweet
42,CCCCC(=O)C(CCC)Sc1ccoc1C,undefined
43,CCN(CC)CCN1C(=O)c2ccccc2S1(=O)=O,bitter
44,CC(C)CC(N)C(=O)NC(C(=O)NC(Cc1ccccc1)C(=O)O)C(C)C,sweet
45,Nc1ncnc2c1ncn2C1CC(OP(O)(=S)S)C(CO)O1,sweet
46,CC(=O)NC(Cc1ccccc1)C(=O)NC(CCCC[NH3+])C(=O)[O-],sweet
47,CC(=O)OC1CC(C)(C=O)CC2C3=CC(=O)C4C5(C)CCC(OC6OC(C(=O)O)C(O)C(O)C6OC6OC(C(=O)O)C(O)C(O)C6O)C(C)(C)C5CCC4(C)C3(C)CCC12C,sweet
48,CCCCCCCCCCCCOC1OC(CO)C(OC2OC(CO)C(O)C(O)C2O)C(O)C1O,sweet
49,CC1OC(OC2C(Oc3c(O)cc4oc(-c5ccccc5)cc(=O)c4c3O)OC(CO)C(O)C2O)C(O)C(O)C1O,sweet
50,N[C@@H](CO)C(=O)N[C@@H](CCC(=O)O)C(=O)O,sour
51,O=C(C(O)CO)C(O)C(O)C(O)CO,sweet
52,O=C(C=Cc1ccccc1)OCC1CCCO1,sweet
53,CC1CC(O)C(=O)C2(C)C1CC1OC(=O)CC3C(C)C(=O)C(O)C2C13C,bitter
54,CC(C)(C(=O)O)S(=O)(=O)c1ccccc1,undefined
55,OCC1OC(OC2OC(CO)C(O)C(OC3OC(CO)C(O)C(O)C3O)C2O)C(O)C(O)C1O,sweet
56,c1ccc(N=NC(=NNc2ccccc2)c2ccccc2)cc1,sweet
57,Nc1nc(P(=O)(O)O)nc2c1ncn2C1OC(CO)C(O)C1O,sweet
58,CC(C)CC(N)C(=O)NC(CC(=O)O)C(=O)NC(Cc1ccccc1)C(=O)NC(C)C(=O)O,sweet
59,O=C1C(O)C(CO)OC(OC2(CO)OC(CO)C(O)C2O)C1O,sweet
60,C/C1=C\CC(O)/C(C)=C/C2OC(=O)C(C)C2CC1,bitter
61,OCC1OC(O)(COC2OCC(O)C(O)C2O)C(O)C1O,sweet
62,CC1(C)CCC2(C(=O)O)CCC3(C)C(=CCC4C5(C)CCC(OC6OC(C(=O)O)C(O)C(OC7OC(CO)C(O)C(O)C7O)C6OC6OCC(O)C(O)C6O)C(C)(C)C5CCC43C)C2C1,sweet
63,COc1ccc(C(=O)c2ccccc2C(=O)O)cc1O,sweet
64,OCC1OC(Oc2ccc3ccccc3c2)C(O)C(O)C1O,bitter
65,NC(Cc1ccccc1)C(=O)NC(CC(=O)O)C(=O)O,sweet
66,C=C1C(=O)OC2CC3(C)CCCC(C)C3=CC12,bitter
67,C=CC1CN2CCC1CC2C(O)c1ccnc2ccccc12,bitter
68,CCCC(=O)CC(=O)OCC,sweet
69,O=C(C(O)CO)C(O)CCO,sweet
70,CC(C)C(NC(=O)C(N)CC(=O)O)C(=O)NC(Cc1ccccc1)C(=O)NC(CC(N)=O)C(=O)O,sweet
71,CCC(C)C(NC(=O)C(NC(=O)C(Cc1ccccc1)NC(=O)C(N)CC(=O)O)C(C)C)C(=O)O,sweet
72,CCC(C)C(N)C(=O)NC(CC(N)=O)C(=O)NC(Cc1ccccc1)C(=O)NC(CC(N)=O)C(=O)O,sweet
73,Nc1ncnc2c1ncn2C1OC(COP(=O)(O)OP(=O)(O)C(F)(P(=O)(O)O)P(=O)(O)O)C(O)C1O,sweet
74,CC(C)CC(NC(=O)C(Cc1ccccc1)NC(=O)C(CC(N)=O)NC(=O)CN)C(=O)O,sweet
75,CC1OC(OC2C(Oc3ccc4c(=O)cc(-c5ccc(O)c(O)c5)oc4c3)OC(CO)C(O)C2O)C(O)C(O)C1O,sweet
76,NCC(=O)NC(Cc1ccccc1)C(=O)NC(CC(=O)O)C(=O)NCC(=O)O,sweet
77,CCCSC(C)=O,undefined
78,OCC1OC(Oc2ccc(O)cc2)C(O)C(O)C1O,bitter
79,COc1ccc(Cc2ccccc2C(=O)O)cc1,undefined
80,CC1CCC(C(C)C)C(OCCO)C1,undefined
81,COCCOCCOCCOC1OC(CO)C(O)C(O)C1O,sweet
82,CCCCOC(=O)CC(C)C,sweet
83,CCCCCC=CC=CC(=O)NCC(C)C,undefined
84,COC1CC(OC2C(O)CC(OC3C(C)OC(O)CC3OC)OC2C)OC(C)C1O,sweet
85,COC(=O)C(CC(C)C)NC(=O)C(CC(C)(C)O)NC(=O)C(Cc1ccccc1)NC(=O)OC(C)(C)C,sweet
86,CC(NC(=O)C(Cc1ccccc1)NC(=O)C(CC(=O)O)NC(=O)CNC(=O)C(CC(N)=O)NC(=O)CNC(=O)C(N)CC(=O)O)C(=O)O,sweet
87,NC(CC(=O)O)C(=O)NCC(=O)NC(CS)C(=O)NC(Cc1ccccc1)C(=O)O,sweet
88,O=C(O)[C@H]1C[C@@H](C(=O)O)C1,sour
89,COc1cc(-c2cc(=O)c3c(O)cc(OC4OC(CO)C(O)C(O)C4OC4OC(C)C(O)C(O)C4O)cc3o2)cc(OC)c1O,sweet
90,O=[N+]([O-])c1cccc([N+](=O)[O-])c1O,sour
91,CC(C)=CCc1c(O)c(O)c(O)c2c1OC(C)(C)CC2=O,bitter
92,O=C(C=CC=CCCc1ccc2c(c1)OCO2)N1CCCCC1,bitter
93,CCCCCCCCCCCOC1C(O)C(O)OC(CO)C1O,sweet
94,CCC(C)C(N)C(=O)NC(Cc1ccccc1)C(=O)NC(CC(N)=O)C(=O)NC(CCCCN)C(=O)O,sweet
95,COc1cc(C2Oc3cc(O)cc(OC4OC(CO)C(O)C(O)C4O)c3C(=O)C2O)ccc1O,sweet
96,CC(C)CC(N)C(=O)NC(CC(N)=O)C(=O)NC(CCCCN)C(=O)NC(Cc1ccccc1)C(=O)O,sweet
97,CCCCCCCCCCCCCCCCCC=O,undefined
