test_id,product_category,product_code_1,product_code_2
0,Bacon,139,130
1,Bacon,130,155
2,Bacon,130,172
3,Bacon,130,182
4,Bacon,201,130
5,Bacon,240,130
6,Bacon,255,130
7,Bacon,130,268
8,Bacon,130,272
9,Bacon,130,299
10,Bacon,318,130
11,Bacon,130,387
12,Bacon,130,404
13,Bacon,441,130
14,Bacon,469,130
15,Bacon,481,130
16,Bacon,503,130
17,Bacon,130,533
18,Bacon,155,139
19,Bacon,172,139
20,Bacon,139,182
21,Bacon,201,139
22,Bacon,240,139
23,Bacon,255,139
24,Bacon,268,139
25,Bacon,139,272
26,Bacon,299,139
27,Bacon,139,318
28,Bacon,139,387
29,Bacon,404,139
30,Bacon,139,441
31,Bacon,469,139
32,Bacon,481,139
33,Bacon,139,503
34,Bacon,139,533
35,Bacon,155,172
36,Bacon,182,155
37,Bacon,201,155
38,Bacon,155,240
39,Bacon,255,155
40,Bacon,268,155
41,Bacon,272,155
42,Bacon,299,155
43,Bacon,155,318
44,Bacon,387,155
45,Bacon,155,404
46,Bacon,441,155
47,Bacon,155,469
48,Bacon,155,481
49,Bacon,503,155
50,Bacon,155,533
51,Bacon,172,182
52,Bacon,172,201
53,Bacon,172,240
54,Bacon,172,255
55,Bacon,172,268
56,Bacon,272,172
57,Bacon,299,172
58,Bacon,318,172
59,Bacon,387,172
60,Bacon,404,172
61,Bacon,441,172
62,Bacon,172,469
63,Bacon,481,172
64,Bacon,503,172
65,Bacon,172,533
66,Bacon,201,182
67,Bacon,182,240
68,Bacon,255,182
69,Bacon,182,268
70,Bacon,182,272
71,Bacon,299,182
72,Bacon,318,182
73,Bacon,182,387
74,Bacon,182,404
75,Bacon,182,441
76,Bacon,182,469
77,Bacon,481,182
78,Bacon,503,182
79,Bacon,533,182
80,Bacon,201,240
81,Bacon,201,255
82,Bacon,268,201
83,Bacon,272,201
84,Bacon,299,201
85,Bacon,318,201
86,Bacon,201,387
87,Bacon,201,404
88,Bacon,201,441
89,Bacon,469,201
90,Bacon,481,201
91,Bacon,201,503
92,Bacon,201,533
93,Bacon,240,255
94,Bacon,240,268
95,Bacon,272,240
96,Bacon,240,299
97,Bacon,318,240
98,Bacon,387,240
99,Bacon,404,240
100,Bacon,441,240
101,Bacon,240,469
102,Bacon,481,240
103,Bacon,240,503
104,Bacon,240,533
105,Bacon,268,255
106,Bacon,272,255
107,Bacon,255,299
108,Bacon,318,255
109,Bacon,387,255
110,Bacon,404,255
111,Bacon,441,255
112,Bacon,255,469
113,Bacon,255,481
114,Bacon,255,503
115,Bacon,255,533
116,Bacon,268,272
117,Bacon,299,268
118,Bacon,268,318
119,Bacon,268,387
120,Bacon,268,404
121,Bacon,268,441
122,Bacon,469,268
123,Bacon,481,268
124,Bacon,503,268
125,Bacon,533,268
126,Bacon,272,299
127,Bacon,272,318
128,Bacon,387,272
129,Bacon,272,404
130,Bacon,441,272
131,Bacon,469,272
132,Bacon,481,272
133,Bacon,503,272
134,Bacon,272,533
135,Bacon,318,299
136,Bacon,299,387
137,Bacon,299,404
138,Bacon,441,299
139,Bacon,299,469
140,Bacon,299,481
141,Bacon,503,299
142,Bacon,533,299
143,Bacon,387,318
144,Bacon,404,318
145,Bacon,441,318
146,Bacon,318,469
147,Bacon,318,481
148,Bacon,503,318
149,Bacon,533,318
150,Bacon,387,404
151,Bacon,441,387
152,Bacon,469,387
153,Bacon,481,387
154,Bacon,387,503
155,Bacon,533,387
156,Bacon,404,441
157,Bacon,404,469
158,Bacon,481,404
159,Bacon,404,503
160,Bacon,533,404
161,Bacon,441,469
162,Bacon,441,481
163,Bacon,441,503
164,Bacon,533,441
165,Bacon,469,481
166,Bacon,503,469
167,Bacon,533,469
168,Bacon,503,481
169,Bacon,481,533
170,Bacon,503,533
171,Barista_Milk,176,109
172,Barista_Milk,109,177
173,Barista_Milk,178,109
174,Barista_Milk,109,179
175,Barista_Milk,213,109
176,Barista_Milk,109,217
177,Barista_Milk,224,109
178,Barista_Milk,109,232
179,Barista_Milk,320,109
180,Barista_Milk,348,109
181,Barista_Milk,375,109
182,Barista_Milk,109,381
183,Barista_Milk,109,389
184,Barista_Milk,422,109
185,Barista_Milk,109,482
186,Barista_Milk,109,484
187,Barista_Milk,109,522
188,Barista_Milk,109,547
189,Barista_Milk,551,109
190,Barista_Milk,177,176
191,Barista_Milk,176,178
192,Barista_Milk,176,179
193,Barista_Milk,176,213
194,Barista_Milk,217,176
195,Barista_Milk,224,176
196,Barista_Milk,176,232
197,Barista_Milk,176,320
198,Barista_Milk,176,348
199,Barista_Milk,176,375
200,Barista_Milk,176,381
201,Barista_Milk,389,176
202,Barista_Milk,422,176
203,Barista_Milk,176,482
204,Barista_Milk,176,484
205,Barista_Milk,522,176
206,Barista_Milk,547,176
207,Barista_Milk,176,551
208,Barista_Milk,178,177
209,Barista_Milk,179,177
210,Barista_Milk,177,213
211,Barista_Milk,177,217
212,Barista_Milk,177,224
213,Barista_Milk,232,177
214,Barista_Milk,177,320
215,Barista_Milk,348,177
216,Barista_Milk,375,177
217,Barista_Milk,177,381
218,Barista_Milk,177,389
219,Barista_Milk,177,422
220,Barista_Milk,177,482
221,Barista_Milk,177,484
222,Barista_Milk,522,177
223,Barista_Milk,547,177
224,Barista_Milk,551,177
225,Barista_Milk,179,178
226,Barista_Milk,178,213
227,Barista_Milk,217,178
228,Barista_Milk,178,224
229,Barista_Milk,178,232
230,Barista_Milk,178,320
231,Barista_Milk,178,348
232,Barista_Milk,178,375
233,Barista_Milk,381,178
234,Barista_Milk,389,178
235,Barista_Milk,178,422
236,Barista_Milk,482,178
237,Barista_Milk,484,178
238,Barista_Milk,178,522
239,Barista_Milk,547,178
240,Barista_Milk,178,551
241,Barista_Milk,179,213
242,Barista_Milk,179,217
243,Barista_Milk,224,179
244,Barista_Milk,232,179
245,Barista_Milk,179,320
246,Barista_Milk,348,179
247,Barista_Milk,179,375
248,Barista_Milk,179,381
249,Barista_Milk,179,389
250,Barista_Milk,422,179
251,Barista_Milk,482,179
252,Barista_Milk,179,484
253,Barista_Milk,522,179
254,Barista_Milk,547,179
255,Barista_Milk,179,551
256,Barista_Milk,213,217
257,Barista_Milk,213,224
258,Barista_Milk,213,232
259,Barista_Milk,320,213
260,Barista_Milk,213,348
261,Barista_Milk,213,375
262,Barista_Milk,381,213
263,Barista_Milk,213,389
264,Barista_Milk,213,422
265,Barista_Milk,213,482
266,Barista_Milk,213,484
267,Barista_Milk,213,522
268,Barista_Milk,547,213
269,Barista_Milk,551,213
270,Barista_Milk,217,224
271,Barista_Milk,217,232
272,Barista_Milk,217,320
273,Barista_Milk,217,348
274,Barista_Milk,217,375
275,Barista_Milk,217,381
276,Barista_Milk,217,389
277,Barista_Milk,217,422
278,Barista_Milk,217,482
279,Barista_Milk,217,484
280,Barista_Milk,217,522
281,Barista_Milk,547,217
282,Barista_Milk,551,217
283,Barista_Milk,232,224
284,Barista_Milk,224,320
285,Barista_Milk,348,224
286,Barista_Milk,375,224
287,Barista_Milk,224,381
288,Barista_Milk,389,224
289,Barista_Milk,224,422
290,Barista_Milk,482,224
291,Barista_Milk,484,224
292,Barista_Milk,224,522
293,Barista_Milk,547,224
294,Barista_Milk,551,224
295,Barista_Milk,232,320
296,Barista_Milk,232,348
297,Barista_Milk,375,232
298,Barista_Milk,232,381
299,Barista_Milk,389,232
300,Barista_Milk,422,232
301,Barista_Milk,232,482
302,Barista_Milk,232,484
303,Barista_Milk,232,522
304,Barista_Milk,232,547
305,Barista_Milk,232,551
306,Barista_Milk,320,348
307,Barista_Milk,375,320
308,Barista_Milk,320,381
309,Barista_Milk,389,320
310,Barista_Milk,422,320
311,Barista_Milk,482,320
312,Barista_Milk,484,320
313,Barista_Milk,320,522
314,Barista_Milk,320,547
315,Barista_Milk,320,551
316,Barista_Milk,375,348
317,Barista_Milk,381,348
318,Barista_Milk,389,348
319,Barista_Milk,422,348
320,Barista_Milk,348,482
321,Barista_Milk,348,484
322,Barista_Milk,348,522
323,Barista_Milk,547,348
324,Barista_Milk,348,551
325,Barista_Milk,375,381
326,Barista_Milk,375,389
327,Barista_Milk,375,422
328,Barista_Milk,482,375
