test_id,higher_rated_product
0,139
1,155
2,130
3,130
4,201
5,130
6,130
7,130
8,130
9,299
10,130
11,387
12,404
13,130
14,469
15,130
16,503
17,130
18,155
19,139
20,139
21,139
22,139
23,139
24,268
25,139
26,299
27,139
28,387
29,404
30,139
31,139
32,139
33,503
34,139
35,172
36,182
37,155
38,240
39,155
40,268
41,272
42,299
43,155
44,155
45,404
46,155
47,155
48,155
49,503
50,155
51,172
52,172
53,172
54,255
55,172
56,172
57,172
58,318
59,172
60,172
61,441
62,172
63,172
64,503
65,172
66,201
67,182
68,255
69,268
70,272
71,182
72,318
73,387
74,404
75,441
76,182
77,481
78,182
79,182
80,201
81,201
82,268
83,201
84,201
85,201
86,201
87,404
88,201
89,201
90,201
91,503
92,201
93,255
94,268
95,272
96,240
97,318
98,387
99,404
100,240
101,240
102,481
103,240
104,240
105,255
106,255
107,299
108,255
109,255
110,255
111,255
112,255
113,255
114,503
115,255
116,268
117,299
118,268
119,387
120,268
121,268
122,268
123,481
124,268
125,533
126,272
127,318
128,387
129,404
130,441
131,469
132,272
133,503
134,272
135,318
136,387
137,404
138,299
139,299
140,481
141,299
142,299
143,387
144,404
145,318
146,318
147,318
148,318
149,318
150,387
151,441
152,469
153,387
154,387
155,387
156,441
157,469
158,481
159,503
160,404
161,469
162,441
163,441
164,441
165,469
166,503
167,533
168,503
169,481
170,503
171,176
172,177
173,178
174,179
175,109
176,109
177,109
178,109
179,109
180,348
181,109
182,109
183,109
184,422
185,482
186,484
187,109
188,109
189,551
190,176
191,178
192,176
193,176
194,217
195,176
196,176
197,176
198,348
199,375
200,176
201,176
202,422
203,482
204,176
205,522
206,176
207,551
208,178
209,177
210,213
211,217
212,224
213,177
214,177
215,348
216,375
217,381
218,177
219,177
220,482
221,177
222,522
223,177
224,177
225,179
226,213
227,178
228,178
229,232
230,178
231,348
232,178
233,178
234,389
235,178
236,482
237,178
238,522
239,178
240,551
241,213
242,217
243,224
244,179
245,320
246,348
247,179
248,381
249,179
250,179
251,482
252,179
253,179
254,547
255,179
256,217
257,224
258,213
259,320
260,348
261,375
262,213
263,213
264,213
265,213
266,213
267,522
268,547
269,213
270,224
271,217
272,217
273,217
274,375
275,217
276,389
277,422
278,217
279,217
280,217
281,217
282,217
283,232
284,224
285,224
286,375
287,224
288,389
289,422
290,224
291,484
292,522
293,547
294,224
295,232
296,348
297,232
298,232
299,389
300,422
301,482
302,232
303,522
304,232
305,551
306,348
307,320
308,381
309,320
310,422
311,482
312,484
313,522
314,547
315,320
316,375
317,348
318,348
319,422
320,482
321,348
322,522
323,348
324,551
325,381
326,389
327,375
328,482
329,484
330,375
331,547
332,551
333,389
334,422
335,381
336,484
337,381
338,547
339,381
340,422
341,389
342,484
343,522
344,389
345,389
346,422
347,484
348,522
349,422
350,422
351,482
352,522
353,482
354,551
355,522
356,484
357,484
358,522
359,551
360,547
361,133
362,133
363,133
364,133
365,253
366,133
367,133
368,133
369,398
370,133
371,133
372,170
373,175
374,190
