test_id,higher_rated_product
0,130
1,155
2,130
3,130
4,130
5,130
6,255
7,130
8,272
9,299
10,130
11,387
12,404
13,130
14,469
15,130
16,503
17,130
18,155
19,139
20,182
21,201
22,139
23,255
24,139
25,272
26,299
27,318
28,139
29,139
30,441
31,469
32,481
33,503
34,533
35,172
36,155
37,201
38,240
39,155
40,155
41,272
42,299
43,155
44,387
45,404
46,155
47,469
48,155
49,503
50,155
51,172
52,172
53,172
54,172
55,268
56,272
57,172
58,172
59,387
60,172
61,172
62,172
63,481
64,172
65,172
66,201
67,182
68,255
69,182
70,272
71,182
72,182
73,387
74,404
75,441
76,182
77,481
78,182
79,182
80,201
81,255
82,268
83,272
84,201
85,201
86,201
87,404
88,201
89,201
90,201
91,503
92,201
93,255
94,268
95,272
96,240
97,318
98,387
99,404
100,240
101,240
102,481
103,240
104,240
105,255
106,272
107,299
108,255
109,255
110,255
111,255
112,255
113,255
114,503
115,255
116,268
117,299
118,268
119,387
120,268
121,268
122,268
123,481
124,268
125,533
126,272
127,272
128,387
129,404
130,272
131,469
132,272
133,503
134,272
135,318
136,387
137,404
138,299
139,299
140,481
141,299
142,299
143,387
144,404
145,441
146,318
147,481
148,318
149,318
150,387
151,441
152,469
153,387
154,387
155,387
156,441
157,469
158,481
159,503
160,404
161,469
162,441
163,441
164,441
165,469
166,503
167,533
168,503
169,481
170,503
171,109
172,109
173,109
174,179
175,213
176,217
177,224
178,232
179,320
180,109
181,375
182,109
183,109
184,109
185,482
186,109
187,109
188,109
189,109
190,176
191,176
192,176
193,213
194,176
195,176
196,176
197,176
198,176
199,176
200,381
201,389
202,176
203,176
204,176
205,176
206,176
207,176
208,177
209,177
210,213
211,217
212,177
213,232
214,177
215,348
216,177
217,177
218,177
219,422
220,177
221,177
222,522
223,547
224,551
225,178
226,213
227,217
228,224
229,178
230,320
231,178
232,375
233,381
234,389
235,178
236,178
237,178
238,522
239,178
240,551
241,213
242,179
243,179
244,179
245,179
246,348
247,375
248,179
249,389
250,422
251,482
252,484
253,522
254,547
255,551
256,217
257,213
258,213
259,213
260,348
261,375
262,381
263,213
264,213
265,213
266,484
267,213
268,213
269,213
270,224
271,232
272,217
273,217
274,217
275,381
276,389
277,422
278,217
279,217
280,522
281,217
282,551
283,232
284,320
285,348
286,375
287,224
288,224
289,422
290,482
291,224
292,224
293,224
294,224
295,232
296,232
297,375
298,232
299,389
300,232
301,232
302,232
303,232
304,232
305,551
306,348
307,320
308,381
309,389
310,320
311,482
312,484
313,522
314,547
315,320
316,375
317,348
318,348
319,422
320,348
321,348
322,522
323,348
324,551
325,381
326,389
327,422
328,482
329,484
330,522
331,547
332,375
333,389
334,422
335,482
336,484
337,522
338,547
339,551
340,389
341,482
342,389
343,522
344,547
345,551
346,422
347,484
348,522
349,422
350,422
351,482
352,522
353,547
354,551
355,522
356,547
357,484
358,522
359,522
360,547
361,170
362,133
363,133
364,133
365,133
366,133
367,133
368,361
369,133
370,133
371,133
372,170
373,175
374,170
375,253
376,170
377,347
378,170
379,170
380,417
381,170
382,173
383,173
384,173
385,285
386,173
387,173
388,398
389,173
390,514
391,175
392,175
393,285
394,175
395,175
396,398
397,417
398,514
399,253
400,285
401,347
402,361
403,398
404,190
405,514
406,285
407,253
408,361
409,398
410,417
411,514
412,285
413,361
414,398
415,285
416,514
417,347
418,398
419,417
420,514
421,398
422,361
423,514
424,398
425,398
426,514
427,100
428,119
429,156
430,100
431,100
432,100
433,502
434,506
435,530
436,544
437,111
438,111
439,394
440,474
441,111
442,111
443,506
444,530
445,544
446,119
447,119
448,474
449,119
450,119
451,506
452,119
453,544
454,156
455,156
456,156
457,156
458,506
459,156
460,156
461,394
462,501
463,502
464,394
465,394
466,544
467,501
468,502
469,506
470,530
471,544
472,501
473,506
474,530
475,544
476,502
477,530
478,502
479,530
480,506
481,544
482,125
483,142
484,146
485,122
486,122
487,122
488,292
489,122
490,122
491,396
492,402
493,405
494,407
495,122
496,122
497,122
498,492
499,122
500,548
501,552
502,142
503,125
504,125
505,125
506,125
507,125
508,125
509,125
510,125
511,125
512,125
513,407
514,462
515,468
516,125
517,492
518,542
519,125
520,125
521,142
522,216
523,142
524,142
525,142
526,142
527,142
528,396
529,402
530,405
531,142
532,462
533,468
534,142
535,142
536,542
537,548
538,552
539,216
540,146
541,280
542,146
543,146
544,309
545,146
546,402
547,405
548,146
549,462
550,468
551,488
552,146
553,542
554,146
555,552
556,216
557,280
558,292
559,216
560,309
561,396
562,216
563,216
564,216
565,462
566,468
567,488
568,216
569,216
570,216
571,216
572,237
573,237
574,303
575,309
576,396
577,402
578,405
579,407
580,237
581,468
582,488
583,237
584,542
585,548
586,237
587,280
588,303
589,309
590,396
591,402
592,280
593,280
594,462
595,468
596,488
597,492
598,542
599,280
600,280
601,292
602,309
603,292
604,402
605,292
606,292
607,462
608,292
609,292
610,292
611,292
612,548
613,292
614,309
615,303
616,303
617,405
618,407
619,462
620,303
621,303
622,492
623,303
624,303
625,552
626,396
627,309
628,309
629,407
630,309
631,309
632,309
633,309
634,309
635,309
636,309
637,396
638,396
639,396
640,462
641,468
642,396
643,492
644,396
645,396
646,396
647,405
648,402
649,462
650,468
651,488
652,402
653,402
654,548
655,402
656,405
657,405
658,468
659,488
660,405
661,542
662,405
663,405
664,462
665,407
666,407
667,492
668,407
669,548
670,407
671,468
672,462
673,492
674,462
675,548
676,462
677,488
678,492
679,468
680,468
681,552
682,488
683,488
684,488
685,488
686,492
687,548
688,492
689,548
690,542
691,548
692,117
693,117
694,157
695,166
696,117
697,117
698,117
699,204
700,117
701,254
702,117
703,117
704,117
705,458
706,478
707,117
708,117
709,505
710,117
711,550
712,131
713,157
714,124
715,184
716,124
717,194
718,124
719,226
720,254
721,339
722,414
723,420
724,124
725,124
726,124
727,124
728,505
729,510
730,124
731,157
732,166
733,184
734,131
735,194
736,204
737,226
738,254
739,339
740,414
741,420
742,131
743,131
744,490
745,498
746,505
747,510
748,131
749,157
750,184
751,193
752,157
753,204
754,226
755,157
756,339
757,157
758,157
759,157
760,157
761,157
762,157
763,505
764,157
765,157
766,166
767,193
768,194
769,204
770,226
771,254
772,166
773,166
774,420
775,166
776,166
777,166
778,166
779,505
780,166
781,166
782,184
783,184
784,204
785,184
786,184
787,339
788,184
789,184
790,458
791,478
792,184
793,184
794,184
795,510
796,550
797,194
798,193
799,226
800,254
801,193
802,414
803,420
804,193
805,193
806,490
807,193
808,193
809,193
810,550
811,204
812,226
813,254
814,339
815,194
816,420
817,458
818,194
819,194
820,194
821,505
822,194
823,550
824,226
825,204
826,204
827,414
828,420
829,458
830,204
831,490
832,204
833,204
834,204
835,204
836,254
837,339
838,226
839,226
840,458
841,226
842,490
843,226
844,226
845,226
846,226
847,254
848,254
849,254
850,254
851,478
852,254
853,498
854,505
855,254
856,550
857,339
858,339
859,339
860,478
861,490
862,498
863,339
864,339
865,339
866,420
867,458
868,478
869,490
870,498
871,414
872,414
873,550
874,420
875,478
876,490
877,420
878,505
879,420
880,420
881,458
882,490
883,498
884,505
885,458
886,550
887,490
888,498
889,505
890,510
891,550
892,498
893,490
894,490
895,490
896,505
897,498
898,550
899,510
900,550
901,550
902,105
903,116
904,118
905,103
906,145
907,103
908,103
909,210
910,231
911,276
912,103
913,103
914,390
915,103
916,103
917,494
918,103
919,526
920,103
921,538
922,116
923,105
924,105
925,105
926,105
927,105
928,105
929,105
930,105
931,281
932,368
933,390
934,454
935,105
936,494
937,523
938,105
939,531
940,538
941,116
942,129
943,116
944,160
945,163
946,210
947,116
948,276
949,116
950,116
951,116
952,454
953,116
954,116
955,523
956,116
957,531
958,538
959,129
960,145
961,160
962,163
963,118
964,231
965,118
966,281
967,368
968,118
969,118
970,118
971,494
972,118
973,526
974,118
975,118
976,145
977,160
978,129
979,129
980,231
981,129
982,281
983,368
984,129
985,454
986,129
987,494
988,129
989,129
990,129
991,129
992,160
993,163
994,210
995,231
996,276
997,281
998,145
999,390
1000,145
1001,145
1002,145
1003,145
1004,145
1005,531
1006,145
1007,163
1008,160
1009,160
1010,160
1011,160
1012,160
1013,160
1014,160
1015,465
1016,160
1017,523
1018,160
1019,160
1020,160
1021,163
1022,231
1023,163
1024,281
1025,368
1026,390
1027,454
1028,465
1029,494
1030,523
1031,526
1032,163
1033,538
1034,231
1035,210
1036,281
1037,210
1038,390
1039,454
1040,210
1041,494
1042,210
1043,526
1044,210
1045,538
1046,231
1047,231
1048,231
1049,231
1050,231
1051,231
1052,231
1053,523
1054,231
1055,231
1056,231
1057,281
1058,368
1059,390
1060,454
1061,276
1062,494
1063,523
1064,276
1065,276
1066,538
1067,368
1068,281
1069,454
1070,281
1071,494
1072,281
1073,281
1074,281
1075,281
1076,368
1077,368
1078,465
1079,368
1080,523
1081,526
1082,368
1083,368
1084,454
1085,390
1086,390
1087,390
1088,390
1089,390
1090,390
1091,465
1092,494
1093,454
1094,454
1095,454
1096,454
1097,465
1098,523
1099,526
1100,465
1101,465
1102,523
1103,526
1104,494
1105,494
1106,526
1107,523
1108,538
1109,531
1110,538
1111,538
1112,107
1113,107
1114,214
1115,107
1116,241
1117,107
1118,107
1119,107
1120,107
1121,107
1122,107
1123,345
1124,107
1125,508
1126,107
1127,107
1128,208
1129,214
1130,218
1131,241
1132,126
1133,126
1134,275
1135,126
1136,126
1137,126
1138,345
1139,126
1140,508
1141,126
1142,527
1143,208
1144,218
1145,241
1146,248
1147,208
1148,275
1149,208
1150,296
1151,208
1152,345
1153,208
1154,508
1155,208
1156,527
1157,214
1158,241
1159,214
1160,214
1161,214
1162,214
1163,214
1164,334
1165,214
1166,214
1167,214
1168,516
1169,214
1170,218
1171,248
1172,218
1173,275
1174,295
1175,296
1176,218
1177,345
1178,218
1179,508
1180,218
1181,527
1182,241
1183,241
1184,241
1185,295
1186,241
1187,241
1188,345
1189,241
1190,508
1191,241
1192,527
1193,248
1194,248
1195,295
1196,296
1197,334
1198,345
1199,248
1200,248
1201,516
1202,527
1203,257
1204,295
1205,296
1206,334
1207,257
1208,449
1209,257
1210,516
1211,257
1212,275
1213,296
1214,275
1215,345
1216,449
1217,508
1218,516
1219,527
1220,296
1221,334
1222,295
1223,295
1224,508
1225,516
1226,527
1227,334
1228,296
1229,449
1230,508
1231,296
1232,296
1233,345
1234,334
1235,508
1236,334
1237,334
1238,345
1239,508
1240,345
1241,345
1242,449
1243,516
1244,527
1245,516
1246,508
1247,516
1248,174
1249,209
1250,219
1251,245
1252,252
1253,265
1254,273
1255,304
1256,174
1257,338
1258,174
1259,174
1260,412
1261,174
1262,423
1263,174
1264,435
1265,174
1266,477
1267,517
1268,209
1269,219
1270,245
1271,252
1272,265
1273,273
1274,304
1275,183
1276,338
1277,183
1278,384
1279,183
1280,418
1281,423
1282,432
1283,435
1284,183
1285,183
1286,183
1287,219
1288,209
1289,252
1290,265
1291,273
1292,209
1293,209
1294,338
1295,355
1296,209
1297,412
1298,418
1299,209
1300,209
1301,435
1302,436
1303,477
1304,209
1305,245
1306,219
1307,265
1308,219
1309,304
1310,331
1311,338
1312,355
1313,384
1314,412
1315,219
1316,423
1317,219
1318,435
1319,219
1320,219
1321,219
1322,252
1323,245
1324,273
1325,245
1326,245
1327,245
1328,245
1329,384
1330,245
1331,418
1332,245
1333,245
1334,245
1335,436
1336,477
1337,517
1338,252
1339,252
1340,252
1341,331
1342,338
1343,252
1344,252
1345,412
1346,418
1347,423
1348,432
1349,252
1350,436
1351,252
1352,517
1353,265
1354,265
1355,265
1356,338
1357,265
1358,265
1359,412
1360,265
1361,265
1362,265
1363,265
1364,265
1365,477
1366,265
1367,304
1368,273
1369,338
1370,355
1371,273
1372,412
1373,273
1374,423
1375,432
1376,435
1377,436
1378,477
1379,517
1380,304
1381,338
1382,304
1383,384
1384,412
1385,418
1386,423
1387,304
1388,435
1389,304
1390,477
1391,304
1392,338
1393,355
1394,331
1395,412
1396,418
1397,423
