test_id,higher_rated_product
0,130
1,155
2,130
3,130
4,130
5,130
6,130
7,130
8,130
9,299
10,130
11,387
12,404
13,130
14,469
15,130
16,503
17,130
18,155
19,139
20,139
21,201
22,139
23,255
24,139
25,272
26,299
27,139
28,139
29,139
30,441
31,469
32,139
33,503
34,139
35,172
36,155
37,201
38,240
39,155
40,155
41,272
42,299
43,155
44,387
45,404
46,155
47,469
48,155
49,503
50,155
51,172
52,172
53,172
54,172
55,268
56,272
57,172
58,172
59,387
60,172
61,172
62,172
63,481
64,172
65,172
66,201
67,182
68,255
69,182
70,272
71,182
72,318
73,387
74,404
75,441
76,469
77,182
78,503
79,182
80,240
81,201
82,268
83,201
84,299
85,201
86,387
87,201
88,201
89,201
90,201
91,503
92,201
93,255
94,268
95,240
96,240
97,318
98,387
99,404
100,441
101,469
102,481
103,240
104,240
105,268
106,255
107,299
108,255
109,255
110,255
111,255
112,255
113,255
114,503
115,255
116,268
117,299
118,268
119,387
120,268
121,268
122,268
123,481
124,268
125,533
126,272
127,272
128,387
129,404
130,272
131,469
132,272
133,503
134,272
135,318
136,387
137,404
138,299
139,299
140,481
141,299
142,299
143,387
144,404
145,441
146,318
147,318
148,318
149,318
150,387
151,441
152,469
153,387
154,387
155,387
156,441
157,469
158,481
159,503
160,404
161,469
162,441
163,441
164,441
165,469
166,503
167,533
168,503
169,481
170,503
171,176
172,177
173,178
174,179
175,109
176,109
177,109
178,109
179,109
180,348
181,109
182,109
183,109
184,422
185,482
186,484
187,109
188,109
189,551
190,176
191,178
192,176
193,176
194,217
195,176
196,176
197,176
198,176
199,375
200,176
201,176
202,422
203,176
204,176
205,522
206,176
207,551
208,178
209,177
210,213
211,217
212,224
213,232
214,177
215,348
216,375
217,381
218,177
219,177
220,177
221,177
222,522
223,547
224,177
225,179
226,213
227,178
228,178
229,232
230,178
231,348
232,178
233,178
234,389
235,178
236,482
237,178
238,522
239,178
240,551
241,213
242,217
243,224
244,179
245,320
246,348
247,179
248,381
249,179
250,179
251,482
252,179
253,179
254,547
255,179
256,217
257,224
258,213
259,320
260,348
261,375
262,213
263,213
264,213
265,213
266,213
267,522
268,547
269,213
270,224
271,217
272,217
273,217
274,375
275,217
276,389
277,422
278,217
279,217
280,217
281,217
282,217
283,232
284,224
285,224
286,375
287,224
288,389
289,422
290,224
291,484
292,522
293,547
294,224
295,232
296,348
297,232
298,232
299,389
300,422
301,232
302,232
303,522
304,232
305,551
306,348
307,320
308,381
309,320
310,422
311,482
312,320
313,522
314,547
315,551
316,375
317,381
318,348
319,348
320,348
321,348
322,522
323,348
324,348
325,381
326,389
327,422
328,375
329,484
330,522
331,375
332,375
333,381
334,422
335,482
336,381
337,522
338,381
339,551
340,422
341,389
342,484
343,389
344,547
345,389
346,482
347,484
348,522
349,422
350,422
351,482
352,522
353,547
354,551
355,522
356,547
357,484
358,522
359,522
360,551
361,170
362,133
363,133
364,190
365,133
366,133
367,133
368,361
369,133
370,133
371,133
372,173
373,175
374,170
375,170
376,170
377,347
378,170
379,398
380,170
381,170
382,173
383,173
384,173
385,173
386,173
387,361
388,398
389,173
390,514
391,175
392,253
393,285
394,175
395,175
396,398
397,175
398,514
399,253
400,285
401,347
402,190
403,398
404,190
405,514
406,285
407,253
408,361
409,398
410,253
411,514
412,285
413,361
414,398
415,285
416,514
417,347
418,398
419,347
420,514
421,398
422,417
423,361
424,398
425,398
426,514
427,111
428,100
429,100
430,100
431,100
432,100
433,100
434,100
435,530
436,544
437,111
438,111
439,394
440,474
441,111
442,502
443,506
444,111
445,544
446,119
447,119
448,119
449,119
450,119
451,119
452,530
453,119
454,156
455,156
456,156
457,502
458,156
459,530
460,156
461,474
462,394
463,502
464,394
465,394
466,394
467,474
468,474
469,474
470,474
471,474
472,501
473,501
474,530
475,544
476,502
477,530
478,544
479,530
480,544
481,530
482,122
483,122
484,146
485,122
486,122
487,122
488,122
489,303
490,122
491,396
492,402
493,122
494,122
495,462
496,122
497,488
498,492
499,122
500,548
501,552
502,142
503,146
504,125
505,125
506,280
507,125
508,125
509,125
510,125
511,125
512,125
513,125
514,462
515,468
516,125
517,492
518,125
519,125
520,125
521,146
522,216
523,237
524,280
525,142
526,303
527,309
528,142
529,402
530,405
531,142
532,462
533,468
534,142
535,492
536,542
537,548
538,552
539,146
540,146
541,146
542,292
543,146
544,309
545,146
546,402
547,405
548,407
549,146
550,468
551,146
552,492
553,542
554,548
555,552
556,216
557,216
558,216
559,216
560,309
561,396
562,402
563,216
564,216
565,216
566,216
567,216
568,492
569,542
570,216
571,216
572,280
573,292
574,303
575,309
576,396
577,402
578,237
579,407
580,237
581,237
582,488
583,237
584,542
585,548
586,237
587,280
588,280
589,280
590,396
591,280
592,405
593,280
594,462
595,280
596,488
597,492
598,280
599,548
600,552
601,292
602,292
603,292
604,402
605,292
606,407
607,292
608,468
609,292
610,492
611,292
612,548
613,552
614,309
615,396
616,303
617,405
618,407
619,303
620,303
621,303
622,303
623,303
624,303
625,303
626,396
627,309
628,309
629,407
630,309
631,309
632,309
633,309
634,542
635,309
636,309
637,396
638,396
639,407
640,462
641,396
642,396
643,396
644,542
645,396
646,396
647,402
648,402
649,462
650,402
651,402
652,402
653,402
654,548
655,402
656,407
657,462
658,468
659,488
660,405
661,542
662,548
663,405
664,407
665,407
666,488
667,407
668,407
669,548
670,407
671,462
672,462
673,492
674,462
675,548
676,462
677,468
678,492
679,468
680,548
681,552
682,492
683,488
684,548
685,488
686,542
687,548
688,492
689,548
690,552
691,548
692,117
693,117
694,157
695,166
696,184
697,193
698,117
699,117
700,117
701,254
702,117
703,117
704,117
705,117
706,478
707,490
708,498
709,117
710,117
711,550
712,124
713,124
714,124
715,124
716,193
717,194
718,124
719,226
720,254
721,339
722,414
723,420
724,124
725,478
726,490
727,124
728,124
729,510
730,550
731,131
732,166
733,184
734,131
735,194
736,131
737,226
738,254
739,339
740,414
741,420
742,458
743,131
744,490
745,131
746,505
747,510
748,550
749,157
750,184
751,157
752,157
753,157
754,226
755,157
756,157
757,157
758,420
759,157
760,478
761,490
762,157
763,505
764,157
765,550
766,184
767,166
768,194
769,204
770,226
771,254
772,339
773,166
774,420
775,166
776,166
777,490
778,498
779,166
780,166
781,550
782,193
783,194
784,184
785,226
786,184
787,339
788,414
789,184
790,184
791,184
792,184
793,498
794,505
795,184
796,550
797,194
798,204
799,226
800,193
801,193
802,414
803,420
804,193
805,478
806,490
807,193
808,193
809,510
810,550
811,204
812,194
813,254
814,339
815,194
816,420
817,194
818,478
819,490
820,194
821,194
822,194
823,550
824,226
825,204
826,204
827,414
828,420
829,458
830,204
831,204
832,204
833,204
834,510
835,550
836,254
837,339
838,226
839,420
840,226
841,478
842,226
843,498
844,226
845,226
846,550
847,254
848,254
849,254
850,458
851,478
852,254
853,254
854,254
855,254
856,254
857,414
858,339
859,339
860,478
861,490
862,498
863,505
864,339
865,550
866,420
867,414
868,414
869,414
870,414
871,505
872,414
873,550
874,458
875,420
876,490
877,498
878,505
879,420
880,550
881,458
882,458
883,458
884,505
885,458
886,458
887,478
888,498
889,505
890,478
891,478
892,490
893,505
894,490
895,490
896,505
897,498
898,498
899,505
900,505
901,550
902,103
903,103
904,118
905,129
906,145
907,103
908,103
909,103
910,103
911,276
912,103
913,368
914,390
915,454
916,103
917,494
918,523
919,526
920,103
921,103
922,116
923,118
924,105
925,105
926,160
927,163
928,105
929,105
930,105
931,281
932,105
933,105
934,105
935,465
936,494
937,105
938,526
939,105
940,105
941,116
942,116
943,116
944,160
945,163
946,116
947,116
948,116
949,116
950,116
951,116
952,454
953,465
954,494
955,116
956,116
957,531
958,538
959,118
960,118
961,160
962,118
963,210
964,231
965,276
966,118
967,368
968,118
969,454
970,118
971,118
972,523
973,526
974,118
975,538
976,129
977,160
978,129
979,129
980,231
981,276
982,281
983,368
984,129
985,129
986,129
987,494
988,523
989,129
990,531
991,538
992,145
993,145
994,210
995,231
996,145
997,145
998,145
999,145
1000,145
1001,465
1002,145
1003,523
1004,526
1005,145
1006,538
1007,163
1008,210
1009,231
1010,160
1011,160
1012,368
1013,160
1014,160
1015,465
1016,160
1017,523
1018,160
1019,160
1020,160
1021,163
1022,163
1023,276
1024,281
1025,368
1026,163
1027,163
1028,465
1029,163
1030,523
1031,163
1032,531
1033,163
1034,210
1035,276
1036,281
1037,368
1038,210
1039,454
1040,210
1041,494
1042,523
1043,526
1044,531
1045,210
1046,231
1047,231
1048,231
1049,231
1050,454
1051,231
1052,231
1053,523
1054,526
1055,231
1056,231
1057,276
1058,368
1059,390
1060,454
1061,276
1062,276
1063,523
1064,276
1065,276
1066,276
1067,368
1068,390
1069,281
1070,281
1071,494
1072,523
1073,281
1074,531
1075,538
1076,390
1077,454
1078,465
1079,368
1080,523
1081,368
1082,368
1083,368
1084,390
1085,390
1086,494
1087,390
1088,526
1089,390
1090,390
1091,465
1092,454
1093,523
1094,454
1095,531
1096,538
1097,465
1098,465
1099,465
1100,531
1101,538
1102,494
1103,494
1104,531
1105,538
1106,523
1107,523
1108,523
1109,526
1110,538
1111,538
1112,107
1113,107
1114,107
1115,218
1116,107
1117,248
1118,107
1119,107
1120,295
1121,107
1122,107
1123,107
1124,107
1125,508
1126,107
1127,107
1128,208
1129,126
1130,126
1131,241
1132,248
1133,126
1134,126
1135,126
1136,126
1137,334
1138,345
1139,449
1140,508
1141,516
1142,527
1143,208
1144,218
1145,241
1146,248
1147,257
1148,208
1149,295
1150,296
1151,334
1152,345
1153,208
1154,208
1155,516
1156,527
1157,214
1158,214
1159,248
1160,214
1161,214
1162,295
1163,296
1164,334
1165,214
1166,449
1167,508
1168,516
1169,527
1170,218
1171,248
1172,218
1173,275
1174,218
1175,218
1176,334
1177,218
1178,218
1179,218
1180,218
1181,527
1182,248
1183,257
1184,241
1185,295
1186,296
1187,241
1188,345
1189,241
1190,241
1191,516
1192,527
1193,248
1194,275
1195,295
1196,248
1197,334
1198,345
1199,248
1200,248
1201,516
1202,527
1203,257
1204,257
1205,296
1206,257
1207,345
1208,449
1209,508
1210,257
1211,527
1212,275
1213,275
1214,334
1215,345
1216,449
1217,508
1218,275
1219,527
1220,295
1221,334
1222,295
1223,449
1224,295
1225,295
1226,295
1227,334
1228,296
1229,449
1230,508
1231,296
1232,296
1233,345
1234,334
1235,334
1236,516
1237,527
1238,345
1239,345
1240,345
1241,527
1242,449
1243,516
1244,449
1245,508
1246,508
1247,527
1248,183
1249,174
1250,219
1251,245
1252,252
1253,265
1254,174
1255,174
1256,331
1257,174
1258,355
1259,174
1260,174
1261,174
1262,174
1263,174
1264,174
1265,436
1266,477
1267,174
1268,183
1269,219
1270,183
1271,252
1272,265
1273,183
1274,183
1275,331
1276,183
1277,183
1278,183
1279,412
1280,418
1281,183
1282,183
1283,435
1284,436
1285,183
1286,183
1287,219
1288,209
1289,252
1290,209
1291,273
1292,304
1293,331
1294,209
1295,209
1296,384
1297,412
1298,418
1299,423
1300,432
1301,209
1302,209
1303,477
1304,517
1305,245
1306,252
1307,265
1308,219
1309,304
1310,331
1311,338
1312,355
1313,219
1314,412
1315,418
1316,423
1317,432
1318,435
1319,219
1320,477
1321,219
1322,252
1323,245
1324,273
1325,245
1326,245
1327,338
1328,245
1329,384
1330,412
1331,245
1332,245
1333,245
1334,245
1335,245
1336,477
1337,245
1338,252
1339,252
1340,252
1341,331
1342,252
1343,252
1344,384
1345,252
1346,418
1347,252
1348,252
1349,435
1350,252
1351,252
1352,252
1353,273
1354,265
1355,265
1356,338
1357,265
1358,384
1359,412
1360,418
1361,265
1362,265
1363,435
1364,436
1365,477
1366,517
1367,273
1368,273
1369,338
1370,355
1371,384
1372,273
1373,273
1374,273
1375,273
1376,273
1377,436
1378,477
1379,517
1380,331
1381,338
1382,355
1383,384
1384,412
1385,304
1386,423
1387,304
1388,304
1389,436
1390,304
1391,304
1392,338
1393,355
1394,331
1395,412
1396,331
1397,423
