test_id,higher_rated_product
0,130
1,155
2,130
3,130
4,201
5,130
6,255
7,268
8,272
9,130
10,130
11,387
12,404
13,130
14,130
15,481
16,503
17,130
18,155
19,139
20,182
21,201
22,139
23,255
24,139
25,272
26,299
27,318
28,139
29,139
30,441
31,469
32,481
33,503
34,139
35,172
36,155
37,201
38,240
39,155
40,155
41,272
42,299
43,155
44,387
45,404
46,155
47,469
48,155
49,503
50,155
51,172
52,172
53,172
54,172
55,268
56,272
57,172
58,172
59,387
60,172
61,172
62,172
63,481
64,172
65,172
66,201
67,182
68,255
69,182
70,272
71,182
72,318
73,387
74,404
75,441
76,469
77,481
78,503
79,182
80,240
81,255
82,268
83,272
84,299
85,201
86,387
87,201
88,201
89,201
90,201
91,503
92,201
93,255
94,268
95,240
96,240
97,318
98,387
99,404
100,441
101,469
102,481
103,240
104,240
105,268
106,255
107,299
108,255
109,255
110,255
111,255
112,255
113,255
114,503
115,255
116,268
117,299
118,268
119,387
120,268
121,268
122,268
123,481
124,268
125,533
126,272
127,272
128,387
129,404
130,272
131,469
132,272
133,503
134,272
135,318
136,387
137,404
138,299
139,299
140,481
141,299
142,299
143,387
144,404
145,318
146,318
147,481
148,318
149,318
150,387
151,441
152,469
153,387
154,387
155,387
156,441
157,469
158,481
159,503
160,404
161,469
162,481
163,441
164,441
165,469
166,503
167,533
168,503
169,481
170,503
171,176
172,177
173,178
174,179
175,109
176,109
177,109
178,109
179,109
180,348
181,109
182,109
183,109
184,422
185,482
186,484
187,109
188,109
189,551
190,176
191,178
192,176
193,176
194,176
195,176
196,176
197,176
198,176
199,375
200,176
201,176
202,422
203,176
204,176
205,176
206,176
207,551
208,178
209,177
210,213
211,217
212,224
213,232
214,177
215,348
216,375
217,381
218,177
219,177
220,177
221,484
222,522
223,547
224,177
225,179
226,213
227,178
228,178
229,232
230,178
231,348
232,178
233,178
234,389
235,178
236,482
237,178
238,522
239,178
240,551
241,213
242,217
243,224
244,179
245,320
246,348
247,179
248,381
249,179
250,179
251,482
252,179
253,179
254,547
255,179
256,217
257,224
258,213
259,320
260,348
261,375
262,213
263,213
264,213
265,213
266,213
267,522
268,547
269,213
270,224
271,232
272,217
273,217
274,375
275,217
276,389
277,422
278,217
279,217
280,217
281,217
282,217
283,232
284,224
285,224
286,375
287,224
288,389
289,422
290,224
291,484
292,522
293,547
294,224
295,232
296,232
297,232
298,232
299,389
300,422
301,232
302,232
303,232
304,232
305,551
306,348
307,320
308,381
309,320
310,422
311,482
312,484
313,522
314,547
315,551
316,375
317,381
318,348
319,348
320,348
321,348
322,522
323,348
324,348
325,381
326,389
327,422
328,375
329,484
330,522
331,375
332,375
333,381
334,422
335,482
336,381
337,522
338,381
339,551
340,422
341,389
342,484
343,389
344,547
345,389
346,482
347,484
348,522
349,422
350,422
351,484
352,522
353,547
354,551
355,522
356,547
357,484
358,522
359,522
360,551
361,170
362,133
363,133
364,190
365,133
366,133
367,133
368,361
369,133
370,133
371,133
372,173
373,175
374,170
375,170
376,170
377,347
378,170
379,398
380,170
381,170
382,173
383,173
384,173
385,173
386,173
387,361
388,398
389,173
390,173
391,175
392,175
393,285
394,175
395,175
396,398
397,417
398,514
399,253
400,285
401,347
402,190
403,398
404,190
405,514
406,285
407,253
408,361
409,398
410,417
411,514
412,285
413,361
414,398
415,285
416,285
417,347
418,398
419,417
420,514
421,398
422,417
423,361
424,398
425,398
426,417
427,111
428,119
429,156
430,100
431,100
432,100
433,100
434,100
435,530
436,544
437,111
438,111
439,394
440,474
441,111
442,502
443,506
444,111
445,544
446,156
447,119
448,119
449,119
450,119
451,119
452,530
453,119
454,156
455,156
456,156
457,156
458,156
459,530
460,156
461,474
462,394
463,502
464,394
465,394
466,394
467,474
468,474
469,474
470,474
471,474
472,501
473,501
474,530
475,544
476,502
477,530
478,544
479,530
480,544
481,530
482,122
483,122
484,146
485,122
486,122
487,122
488,122
489,303
490,122
491,396
492,402
493,122
494,122
495,462
496,122
497,488
498,492
499,122
500,548
501,552
502,142
503,146
504,125
505,125
506,280
507,125
508,125
509,125
510,125
511,125
512,125
513,125
514,462
515,468
516,125
517,492
518,125
519,125
520,125
521,146
522,216
523,237
524,280
525,142
526,303
527,309
528,142
529,402
530,405
531,142
532,462
533,468
534,142
535,492
536,542
537,548
538,552
539,146
540,146
541,146
542,292
543,146
544,309
545,146
546,402
547,405
548,407
549,146
550,468
551,146
552,492
553,542
554,548
555,552
556,216
557,216
558,216
559,216
560,309
561,396
562,216
563,405
564,407
565,462
566,468
567,488
568,492
569,216
570,548
571,216
572,280
573,237
574,237
575,309
576,396
577,402
578,405
579,237
580,237
581,237
582,488
583,237
584,237
585,548
586,237
587,280
588,280
589,280
590,280
591,402
592,405
593,407
594,280
595,280
596,488
597,280
598,280
599,548
600,280
601,303
602,309
603,292
604,292
605,292
606,407
607,292
608,292
609,488
610,292
611,292
612,292
613,552
614,309
615,303
616,303
617,303
618,407
619,303
620,303
621,488
622,303
623,303
624,548
625,303
626,396
627,309
628,309
629,407
630,462
631,309
632,488
633,309
634,542
635,548
636,309
637,396
638,396
639,407
640,462
641,468
642,396
643,492
644,396
645,396
646,396
647,405
648,407
649,462
650,468
651,488
652,402
653,542
654,548
655,402
656,407
657,462
658,405
659,488
660,492
661,405
662,548
663,405
664,407
665,407
666,407
667,407
668,407
669,548
670,407
671,468
672,488
673,492
674,542
675,548
676,462
677,468
678,492
679,542
680,548
681,468
682,492
683,542
684,488
685,488
686,492
687,548
688,492
689,542
690,552
691,548
692,117
693,117
694,157
695,117
696,184
697,117
698,117
699,117
700,117
701,254
702,117
703,117
704,117
705,117
706,117
707,490
708,498
709,117
710,117
711,550
712,131
713,157
714,166
715,184
716,193
717,194
718,124
719,226
720,254
721,339
722,414
723,420
724,124
725,478
726,124
727,124
728,124
729,510
730,550
731,131
732,166
733,131
734,193
735,194
736,131
737,226
738,254
739,339
740,414
741,420
742,458
743,478
744,131
745,498
746,505
747,510
748,131
749,157
750,184
751,193
752,157
753,204
754,226
755,157
756,339
757,157
758,157
759,157
760,478
761,157
762,498
763,157
764,510
765,550
766,184
767,193
768,166
769,204
770,226
771,166
772,166
773,414
774,420
775,458
776,166
777,490
778,498
779,505
780,510
781,550
782,193
783,194
784,184
785,184
786,184
787,184
788,184
789,184
790,458
791,184
792,184
793,498
794,505
795,184
796,550
797,193
798,193
799,226
800,254
801,193
802,414
803,193
804,193
805,478
806,490
807,498
808,193
809,193
810,193
811,204
812,226
813,254
814,194
815,194
816,420
817,458
818,194
819,194
820,498
821,194
822,194
823,550
824,226
825,254
826,339
827,414
828,204
829,204
830,478
831,204
832,498
833,204
834,510
835,204
836,254
837,226
838,226
839,420
840,458
841,478
842,226
843,498
844,226
845,226
846,550
847,254
848,254
849,254
850,458
851,254
852,490
853,498
854,254
855,254
856,254
857,414
858,420
859,339
860,478
861,339
862,339
863,505
864,339
865,550
866,420
867,414
868,414
869,490
870,414
871,505
872,414
873,550
874,420
875,420
876,420
877,498
878,505
879,420
880,420
881,458
882,458
883,498
884,458
885,458
886,458
887,490
888,498
889,478
890,510
891,550
892,490
893,505
894,490
895,490
896,498
897,510
898,498
899,510
900,505
901,550
902,105
903,103
904,118
905,103
906,103
907,160
908,103
909,210
910,103
911,103
912,281
913,103
914,103
915,103
916,465
917,103
918,523
919,103
920,531
921,103
922,116
923,105
924,129
925,145
926,160
927,163
928,105
929,105
930,105
931,281
932,105
933,105
934,105
935,105
936,105
937,523
938,105
939,105
940,105
941,116
942,129
943,145
944,116
945,163
946,210
947,231
948,116
949,116
950,116
951,116
952,454
953,465
954,494
955,523
956,116
957,531
958,538
959,129
960,118
961,160
962,163
963,210
964,231
965,118
966,281
967,368
968,118
969,454
970,118
971,494
972,118
973,118
974,118
975,538
976,129
977,129
978,163
979,129
980,231
981,129
982,281
983,368
984,129
985,129
986,465
987,494
988,523
989,129
990,129
991,129
992,160
993,163
994,210
995,231
996,276
997,281
998,145
999,145
1000,454
1001,145
1002,145
1003,523
1004,145
1005,145
1006,145
1007,160
1008,160
1009,231
1010,160
1011,281
1012,368
1013,390
1014,454
1015,465
1016,494
1017,523
1018,160
1019,160
1020,538
1021,163
1022,163
1023,276
1024,281
1025,368
1026,390
1027,163
1028,163
1029,494
1030,523
1031,526
1032,531
1033,163
1034,210
1035,210
1036,281
1037,210
1038,390
1039,454
1040,210
1041,210
1042,523
1043,526
1044,531
1045,538
1046,231
1047,231
1048,231
1049,390
1050,454
1051,465
1052,231
1053,231
1054,231
1055,231
1056,231
1057,281
1058,368
1059,390
1060,276
1061,465
1062,494
1063,276
1064,526
1065,276
1066,538
1067,368
1068,390
1069,281
1070,281
1071,494
1072,523
1073,281
1074,281
1075,281
1076,368
1077,454
1078,368
1079,494
1080,368
1081,526
1082,368
1083,368
1084,454
1085,465
1086,494
1087,390
1088,390
1089,390
1090,390
1091,465
1092,454
1093,523
1094,454
1095,531
1096,454
1097,465
1098,523
1099,465
1100,465
1101,465
1102,523
1103,494
1104,494
1105,494
1106,523
1107,531
1108,523
1109,531
1110,538
1111,538
1112,107
1113,107
1114,107
1115,218
1116,107
1117,107
1118,107
1119,275
1120,107
1121,296
1122,107
1123,107
1124,107
1125,508
1126,107
1127,527
1128,208
1129,214
1130,218
1131,241
1132,126
1133,257
1134,275
1135,126
1136,296
1137,334
1138,345
1139,126
1140,508
1141,516
1142,527
1143,208
1144,208
1145,208
1146,248
1147,257
1148,208
1149,208
1150,296
1151,208
1152,208
1153,208
1154,508
1155,208
1156,527
1157,218
1158,241
1159,248
1160,214
1161,214
1162,214
1163,214
1164,214
1165,345
1166,214
1167,214
1168,516
1169,527
1170,218
1171,218
1172,257
1173,275
1174,295
1175,218
1176,218
1177,218
1178,449
1179,218
1180,218
1181,527
1182,248
1183,241
1184,275
1185,241
1186,241
1187,241
1188,345
1189,241
1190,241
1191,241
1192,527
1193,248
1194,275
1195,248
1196,296
1197,334
1198,345
1199,248
1200,508
1201,248
1202,527
1203,275
1204,295
1205,296
1206,257
1207,257
1208,257
1209,508
1210,516
1211,527
1212,295
1213,296
1214,334
1215,275
1216,449
1217,275
1218,275
1219,275
1220,296
1221,334
1222,295
1223,295
1224,295
1225,295
1226,527
1227,296
1228,296
1229,449
1230,296
1231,516
1232,296
1233,345
1234,334
1235,334
1236,334
1237,334
1238,345
1239,508
1240,345
1241,527
1242,449
1243,516
1244,449
1245,508
1246,508
1247,516
1248,183
1249,209
1250,174
1251,174
1252,174
1253,265
1254,174
1255,304
1256,174
1257,338
1258,174
1259,174
1260,174
1261,174
1262,423
1263,432
1264,435
1265,174
1266,477
1267,174
1268,183
1269,219
1270,245
1271,183
1272,265
1273,183
1274,183
1275,331
1276,338
1277,355
1278,384
1279,412
1280,183
1281,423
1282,432
1283,183
1284,183
1285,183
1286,183
1287,219
1288,209
1289,252
1290,209
1291,273
1292,209
1293,209
1294,209
1295,355
1296,209
1297,412
1298,418
1299,209
1300,209
1301,209
1302,209
1303,477
1304,209
1305,245
1306,252
1307,265
1308,273
1309,304
1310,331
1311,338
1312,355
1313,219
1314,412
1315,418
1316,423
1317,432
1318,219
1319,436
1320,477
1321,219
1322,252
1323,245
1324,273
1325,245
1326,245
1327,245
1328,245
1329,245
1330,245
1331,418
1332,245
1333,245
1334,245
1335,436
1336,477
1337,517
1338,265
1339,252
1340,252
1341,252
1342,338
1343,252
1344,384
1345,412
1346,418
1347,423
1348,252
1349,435
1350,436
1351,477
1352,252
1353,265
1354,265
1355,331
1356,338
1357,355
1358,384
1359,412
1360,418
1361,423
1362,265
1363,435
1364,265
1365,265
1366,265
1367,273
1368,331
1369,338
1370,355
1371,273
1372,273
1373,273
1374,273
1375,432
1376,273
1377,273
1378,273
1379,273
1380,331
1381,338
1382,355
1383,304
1384,412
1385,418
1386,423
1387,304
1388,435
1389,436
1390,477
1391,304
1392,338
1393,331
1394,331
1395,331
1396,331
1397,423
