test_id,higher_rated_product
0,130
1,130
2,172
3,130
4,201
5,130
6,255
7,130
8,272
9,299
10,130
11,387
12,404
13,130
14,469
15,130
16,503
17,130
18,155
19,139
20,139
21,201
22,139
23,255
24,139
25,272
26,299
27,139
28,139
29,139
30,139
31,469
32,139
33,503
34,139
35,172
36,155
37,201
38,240
39,155
40,155
41,272
42,299
43,155
44,387
45,404
46,155
47,469
48,155
49,503
50,155
51,172
52,172
53,172
54,172
55,268
56,272
57,172
58,172
59,387
60,172
61,172
62,172
63,481
64,172
65,172
66,201
67,182
68,255
69,182
70,272
71,182
72,318
73,387
74,404
75,441
76,469
77,481
78,503
79,182
80,240
81,201
82,268
83,201
84,299
85,201
86,387
87,201
88,201
89,201
90,201
91,503
92,201
93,255
94,268
95,240
96,240
97,318
98,387
99,404
100,441
101,469
102,481
103,240
104,240
105,268
106,272
107,299
108,255
109,255
110,255
111,255
112,469
113,255
114,255
115,255
116,272
117,299
118,268
119,268
120,404
121,268
122,469
123,268
124,503
125,268
126,272
127,272
128,387
129,272
130,272
131,272
132,272
133,503
134,272
135,318
136,299
137,404
138,299
139,469
140,299
141,299
142,299
143,318
144,404
145,441
146,318
147,318
148,503
149,318
150,404
151,441
152,469
153,481
154,503
155,533
156,441
157,469
158,404
159,404
160,404
161,469
162,441
163,503
164,441
165,469
166,503
167,533
168,503
169,481
170,503
171,176
172,109
173,109
174,109
175,109
176,217
177,224
178,232
179,320
180,109
181,375
182,381
183,109
184,422
185,109
186,484
187,522
188,109
189,551
190,176
191,176
192,179
193,176
194,217
195,224
196,176
197,176
198,176
199,375
200,381
201,389
202,176
203,176
204,176
205,176
206,176
207,176
208,177
209,179
210,213
211,217
212,224
213,232
214,177
215,348
216,177
217,177
218,389
219,177
220,177
221,177
222,522
223,547
224,177
225,179
226,213
227,178
228,178
229,232
230,178
231,348
232,178
233,178
234,389
235,178
236,482
237,178
238,522
239,178
240,551
241,213
242,217
243,224
244,179
245,320
246,348
247,179
248,381
249,179
250,179
251,482
252,179
253,179
254,547
255,179
256,217
257,224
258,213
259,320
260,348
261,375
262,213
263,213
264,213
265,213
266,213
267,522
268,547
269,213
270,224
271,217
272,217
273,217
274,375
275,217
276,389
277,422
278,217
279,217
280,217
281,217
282,217
283,232
284,224
285,224
286,375
287,224
288,389
289,422
290,224
291,484
292,522
293,547
294,224
295,232
296,232
297,232
298,232
299,389
300,422
301,232
302,232
303,522
304,232
305,551
306,348
307,320
308,381
309,389
310,320
311,482
312,484
313,522
314,547
315,320
316,375
317,348
318,348
319,422
320,348
321,348
322,522
323,348
324,551
325,381
326,389
327,422
328,482
329,484
330,522
331,547
332,375
333,389
334,422
335,482
336,484
337,522
338,547
339,551
340,389
341,482
342,389
343,522
344,547
345,551
346,422
347,484
348,522
349,422
350,422
351,482
352,522
353,547
354,551
355,522
356,547
357,484
358,522
359,522
360,547
361,170
362,133
363,133
364,133
365,133
366,133
367,133
368,361
369,398
370,133
371,133
372,170
373,175
374,170
375,253
376,170
377,347
378,170
379,170
380,417
381,170
382,173
383,173
384,173
385,173
386,173
387,173
388,398
389,173
390,173
391,190
392,253
393,285
394,175
395,361
396,398
397,175
398,514
399,190
400,190
401,190
402,361
403,398
404,190
405,514
406,253
407,253
408,361
409,398
410,253
411,253
412,285
413,361
414,398
415,285
416,285
417,361
418,398
419,347
420,514
421,398
422,361
423,361
424,398
425,398
426,514
427,100
428,119
429,100
430,394
431,474
432,100
433,100
434,506
435,530
436,544
437,111
438,111
439,394
440,474
441,111
442,502
443,111
444,111
445,544
446,119
447,394
448,474
449,501
450,119
451,506
452,119
453,544
454,156
455,156
456,156
457,156
458,506
459,530
460,156
461,394
462,501
463,502
464,394
465,394
466,544
467,501
468,502
469,506
470,530
471,544
472,501
473,506
474,530
475,544
476,502
477,530
478,502
479,530
480,506
481,544
482,125
483,142
484,146
485,122
486,122
487,122
488,292
489,122
490,122
491,396
492,402
493,405
494,407
495,122
496,122
497,122
498,492
499,122
500,548
501,552
502,142
503,125
504,125
505,125
506,125
507,125
508,125
509,125
510,125
511,125
512,125
513,407
514,462
515,468
516,125
517,492
518,542
519,125
520,125
521,142
522,216
523,142
524,142
525,142
526,142
527,142
528,396
529,402
530,405
531,142
532,462
533,468
534,142
535,142
536,542
537,548
538,552
539,216
540,146
541,280
542,146
543,146
544,309
545,146
546,402
547,405
548,146
549,462
550,468
551,488
552,146
553,542
554,146
555,552
556,216
557,280
558,292
559,216
560,309
561,396
562,216
563,216
564,216
565,216
566,468
567,488
568,492
569,216
570,548
571,216
572,280
573,292
574,237
575,309
576,396
577,402
578,405
579,237
580,237
581,468
582,488
583,237
584,542
585,548
586,552
587,292
588,303
589,309
590,280
591,402
592,280
593,280
594,280
595,280
596,280
597,492
598,280
599,280
600,280
601,303
602,292
603,396
604,292
605,292
606,407
607,462
608,292
609,488
610,492
611,542
612,548
613,292
614,303
615,396
616,402
617,303
618,407
619,462
620,303
621,488
622,303
623,542
624,303
625,552
626,396
627,309
628,309
629,407
630,309
631,309
632,309
633,309
634,309
635,548
636,309
637,396
638,396
639,396
640,462
641,468
642,396
643,492
644,396
645,396
646,396
647,402
648,402
649,462
650,468
651,402
652,402
653,542
654,548
655,402
656,405
657,405
658,468
659,488
660,405
661,405
662,548
663,552
664,407
665,407
666,488
667,407
668,542
669,407
670,407
671,468
672,462
673,492
674,462
675,548
676,552
677,468
678,468
679,468
680,468
681,468
682,492
683,488
684,548
685,488
686,492
687,548
688,492
689,542
690,552
691,548
692,117
693,117
694,117
695,166
696,184
697,117
698,117
699,117
700,117
701,254
702,117
703,117
704,117
705,117
706,478
707,490
708,117
709,505
710,117
711,117
712,124
713,124
714,124
715,124
716,193
717,194
718,204
719,226
720,254
721,339
722,414
723,420
724,124
725,478
726,490
727,124
728,124
729,510
730,124
731,157
732,166
733,184
734,193
735,194
736,204
737,226
738,254
739,339
740,414
741,420
742,131
743,131
744,131
745,131
746,505
747,510
748,131
749,157
750,157
751,157
752,157
753,204
754,226
755,254
756,157
757,157
758,157
759,458
760,157
761,157
762,157
763,505
764,510
765,157
766,184
767,166
768,166
769,166
770,166
771,254
772,166
773,166
774,420
775,166
776,478
777,166
778,498
779,166
780,166
781,550
782,184
783,194
784,204
785,184
786,184
787,184
788,414
789,184
790,184
791,184
792,184
793,498
794,184
795,510
796,550
797,193
798,204
799,226
800,254
801,193
802,414
803,420
804,458
805,478
806,193
807,498
808,193
809,193
810,550
811,194
812,194
813,254
814,194
815,194
816,420
817,194
818,194
819,490
820,194
821,505
822,194
823,194
824,204
825,254
826,339
827,204
828,204
829,204
830,478
831,204
832,204
833,204
834,204
835,550
836,254
837,226
838,414
839,420
840,458
841,226
842,490
843,498
844,226
845,226
846,226
847,254
848,254
849,254
850,254
851,478
852,254
853,254
854,505
855,254
856,254
857,414
858,420
859,339
860,339
861,339
862,498
863,505
864,339
865,339
866,420
867,414
868,478
869,414
870,414
871,505
872,414
873,414
874,458
875,420
876,420
877,420
878,420
879,420
880,550
881,458
882,490
883,458
884,505
885,458
886,458
887,490
888,498
889,478
890,510
891,550
892,498
893,505
894,510
895,550
896,505
897,498
898,550
899,510
900,550
901,550
902,103
903,103
904,118
905,129
906,145
907,103
908,163
909,103
910,103
911,276
912,281
913,103
914,390
915,103
916,103
917,103
918,103
919,526
920,103
921,103
922,105
923,118
924,105
