test_id,higher_rated_product
0,139
1,155
2,130
3,182
4,201
5,130
6,130
7,130
8,272
9,299
10,318
11,387
12,404
13,441
14,469
15,481
16,503
17,130
18,139
19,139
20,139
21,139
22,139
23,139
24,268
25,139
26,299
27,318
28,387
29,404
30,139
31,139
32,139
33,503
34,139
35,155
36,155
37,155
38,240
39,255
40,268
41,272
42,299
43,318
44,155
45,404
46,441
47,155
48,155
49,503
50,155
51,172
52,172
53,240
54,172
55,268
56,172
57,299
58,172
59,172
60,404
61,441
62,469
63,481
64,503
65,172
66,182
67,240
68,182
69,268
70,272
71,182
72,318
73,182
74,404
75,441
76,182
77,481
78,503
79,182
80,240
81,201
82,268
83,272
84,201
85,318
86,387
87,404
88,441
89,201
90,481
91,503
92,201
93,240
94,240
95,272
96,240
97,318
98,240
99,404
100,441
101,240
102,481
103,503
104,533
105,255
106,272
107,299
108,318
109,387
110,255
111,441
112,255
113,481
114,255
115,255
116,272
117,299
118,268
119,387
120,268
121,441
122,469
123,481
124,503
125,268
126,272
127,318
128,387
129,272
130,441
131,272
132,481
133,272
134,272
135,299
136,299
137,404
138,299
139,469
140,299
141,503
142,533
143,318
144,404
145,318
146,318
147,318
148,503
149,318
150,404
151,441
152,387
153,387
154,503
155,533
156,441
157,469
158,404
159,404
160,533
161,441
162,481
163,441
164,441
165,469
166,503
167,533
168,481
169,481
170,503
171,109
172,177
173,178
174,179
175,213
176,217
177,224
178,232
179,320
180,348
181,375
182,381
183,389
184,422
185,109
186,109
187,522
188,109
189,551
190,176
191,178
192,179
193,176
194,176
195,176
196,176
197,176
198,176
199,176
200,381
201,389
202,176
203,176
204,176
205,176
206,176
207,551
208,177
209,179
210,213
211,217
212,177
213,232
214,177
215,348
216,375
217,381
218,177
219,422
220,177
221,484
222,522
223,547
224,177
225,179
226,213
227,217
228,224
229,178
230,320
231,178
232,178
233,381
234,178
235,422
236,178
237,178
238,522
239,178
240,178
241,213
242,217
243,224
244,232
245,320
246,348
247,375
248,179
249,179
250,179
251,482
252,179
253,179
254,179
255,179
256,213
257,224
258,232
259,213
260,213
261,213
262,381
263,213
264,422
265,213
266,484
267,522
268,213
269,551
270,224
271,217
272,217
273,217
274,375
275,381
276,217
277,217
278,217
279,217
280,217
281,217
282,217
283,232
284,224
285,348
286,224
287,381
288,389
289,422
290,482
291,224
292,522
293,547
294,551
295,232
296,232
297,375
298,381
299,232
300,232
301,232
302,232
303,522
304,232
305,551
306,348
307,375
308,381
309,389
310,422
311,482
312,484
313,522
314,547
315,551
316,348
317,381
318,348
319,348
320,348
321,484
322,522
323,348
324,551
325,381
326,375
327,375
328,482
329,375
330,375
331,375
332,551
333,389
334,381
335,381
336,381
337,381
338,381
339,551
340,389
341,482
342,484
343,389
344,547
345,389
346,422
347,484
348,522
349,422
350,422
351,484
352,522
353,547
354,551
355,522
356,484
357,551
358,522
359,551
360,551
361,133
362,133
363,133
364,190
365,253
366,285
367,133
368,133
369,398
370,133
371,133
372,170
373,170
374,190
