test_id,higher_rated_product
0,139
1,155
2,130
3,130
4,130
5,130
6,130
7,130
8,130
9,299
10,130
11,387
12,404
13,130
14,469
15,130
16,503
17,130
18,155
19,139
20,139
21,139
22,139
23,139
24,139
25,139
26,299
27,139
28,139
29,139
30,139
31,469
32,139
33,503
34,139
35,172
36,155
37,201
38,240
39,155
40,155
41,272
42,299
43,155
44,387
45,404
46,155
47,469
48,155
49,503
50,155
51,172
52,172
53,172
54,172
55,268
56,272
57,172
58,172
59,387
60,172
61,172
62,172
63,481
64,172
65,172
66,201
67,182
68,255
69,182
70,272
71,182
72,318
73,387
74,404
75,441
76,469
77,481
78,503
79,182
80,240
81,201
82,268
83,201
84,299
85,201
86,387
87,201
88,201
89,201
90,201
91,503
92,201
93,255
94,268
95,240
96,240
97,318
98,387
99,404
100,441
101,469
102,481
103,240
104,240
105,268
106,255
107,299
108,255
109,255
110,255
111,255
112,255
113,255
114,503
115,255
116,268
117,299
118,268
119,387
120,268
121,268
122,268
123,481
124,268
125,533
126,272
127,318
128,387
129,404
130,441
131,469
132,481
133,272
134,272
135,299
136,387
137,299
138,299
139,469
140,481
141,503
142,533
143,387
144,318
145,318
146,318
147,318
148,503
149,318
150,387
151,387
152,469
153,387
154,503
155,387
156,404
157,469
158,404
159,503
160,533
161,441
162,441
163,441
164,441
165,469
166,503
167,533
168,481
169,481
170,503
171,109
172,177
173,178
174,179
175,213
176,217
177,224
178,232
179,320
180,348
181,375
182,381
183,389
184,422
185,109
186,109
187,522
188,109
189,551
190,176
191,178
192,179
193,176
194,217
195,176
196,176
197,176
198,176
199,176
200,381
201,389
202,176
203,176
204,176
205,522
206,176
207,551
208,177
209,179
210,213
211,217
212,177
213,232
214,177
215,348
216,375
217,381
218,177
219,422
220,177
221,484
222,522
223,547
224,177
225,179
226,213
227,217
228,224
229,178
230,320
231,178
232,178
233,381
234,178
235,422
236,178
237,178
238,522
239,178
240,178
241,213
242,217
243,224
244,232
245,320
246,348
247,375
248,179
249,179
250,179
251,482
252,179
253,179
254,179
255,179
256,213
257,224
258,232
259,213
260,213
261,213
262,381
263,213
264,422
265,213
266,484
267,522
268,213
269,551
270,224
271,217
272,217
273,217
274,375
275,381
276,217
277,217
278,217
279,217
280,217
281,217
282,217
283,232
284,224
285,348
286,224
287,381
288,389
289,422
290,482
291,224
292,522
293,547
294,551
295,232
296,348
297,375
298,381
299,232
300,232
301,232
302,232
303,522
304,232
305,551
306,348
307,375
308,381
309,389
310,422
311,482
312,484
313,522
314,547
315,551
316,348
317,381
318,348
319,348
320,348
321,348
322,522
323,348
324,551
325,381
326,375
327,375
328,482
329,375
330,375
331,375
332,551
333,389
334,381
335,381
336,381
337,381
338,381
339,551
340,389
341,482
342,484
343,389
344,547
345,389
346,422
347,484
348,522
349,422
350,422
351,484
352,522
353,547
354,551
355,522
356,547
357,551
358,522
359,551
360,551
361,133
362,133
363,133
364,190
365,253
366,285
367,133
368,133
369,398
370,133
371,133
372,170
373,170
374,190
