oof_csv,point,ci_lo,ci_hi
bradley_terry_SNCTI_bench.csv,0.610160,0.570588,0.660963
bradley_terry_SNCTI_tastegnn.csv,0.615508,0.579679,0.669005
dist_pred_cosine_NCI.csv,0.574332,0.527807,0.635294
dist_pred_cosine_NCI_tastegnn.csv,0.545455,0.493583,0.601604
dist_pred_l2_NCI.csv,0.570588,0.523529,0.632257
dist_pred_l2_NCI_tastegnn.csv,0.556150,0.508556,0.612299
hierarchical_bt_SNCTI_bench.csv,0.613369,0.570053,0.670053
hierarchical_bt_SNCTI_tastegnn.csv,0.624064,0.581283,0.683957
kernel_ranksvm_SNCTI_bench.csv,0.617647,0.579144,0.674332
kernel_ranksvm_SNCTI_tastegnn.csv,0.597326,0.555615,0.654207
lightgbm_reg_SNCTI_bench.csv,0.557754,0.508556,0.614973
lightgbm_reg_SNCTI_tastegnn.csv,0.558824,0.509091,0.617174
nested_bt_gemini_mean.csv,0.622995,0.586631,0.674613
nested_bt_gemini_nnls.csv,0.682888,0.654011,0.740054
nested_bt_gemini_rank.csv,0.670588,0.640642,0.725134
nested_bt_l2_SNCTI_tastegnn_gemini_mean.csv,0.553476,0.504278,0.609091
nested_bt_l2_SNCTI_tastegnn_gemini_nnls.csv,0.634759,0.593583,0.691540
nested_bt_l2_SNCTI_tastegnn_gemini_rank.csv,0.626203,0.584492,0.681678
ridge_SNCTI_bench.csv,0.579144,0.534225,0.631777
ridge_SNCTI_tastegnn.csv,0.585561,0.539037,0.643897
