label,class_idx,metric,point,ci_lo,ci_hi
FART,0,support,1473.000000,,
FART,0,precision,0.944256,0.931319,0.954764
FART,0,recall,0.942974,0.930338,0.954209
FART,0,f1,0.943614,0.934731,0.951739
FART,0,auroc,0.978952,0.973364,0.983314
FART,1,support,233.000000,,
FART,1,precision,0.855670,0.801044,0.901099
FART,1,recall,0.712446,0.651163,0.767442
FART,1,f1,0.777518,0.730769,0.818281
FART,1,auroc,0.951344,0.931851,0.964823
FART,2,support,238.000000,,
FART,2,precision,0.897119,0.852590,0.930769
FART,2,recall,0.915966,0.874497,0.947368
FART,2,f1,0.906445,0.876543,0.931106
FART,2,auroc,0.994948,0.992054,0.996816
FART,3,support,6.000000,,
FART,3,precision,1.000000,0.000000,1.000000
FART,3,recall,0.333333,0.000000,0.800000
FART,3,f1,0.500000,0.000000,0.909091
FART,3,auroc,0.988731,0.975139,0.999334
FART,4,support,304.000000,,
FART,4,precision,0.697674,0.647748,0.745714
FART,4,recall,0.789474,0.741834,0.833877
FART,4,f1,0.740741,0.702128,0.778275
FART,4,auroc,0.958102,0.945540,0.967227
GNN,0,support,1473.000000,,
GNN,0,precision,0.944818,0.932284,0.955694
GNN,0,recall,0.953157,0.941353,0.963295
GNN,0,f1,0.948969,0.940422,0.956845
GNN,0,auroc,0.980660,0.974815,0.985068
GNN,1,support,233.000000,,
GNN,1,precision,0.869347,0.816754,0.911914
GNN,1,recall,0.742489,0.682939,0.796070
GNN,1,f1,0.800926,0.756757,0.839506
GNN,1,auroc,0.957825,0.939351,0.970394
GNN,2,support,238.000000,,
GNN,2,precision,0.906122,0.863636,0.937289
GNN,2,recall,0.932773,0.894068,0.959677
GNN,2,f1,0.919255,0.891092,0.942173
GNN,2,auroc,0.995752,0.992805,0.997488
GNN,3,support,6.000000,,
GNN,3,precision,0.666667,0.000000,1.000000
GNN,3,recall,0.666667,0.000000,1.000000
GNN,3,f1,0.666667,0.000000,0.888889
GNN,3,auroc,0.987989,0.926511,1.000000
GNN,4,support,304.000000,,
GNN,4,precision,0.735849,0.685625,0.782743
GNN,4,recall,0.769737,0.720137,0.815789
GNN,4,f1,0.752412,0.713101,0.789717
GNN,4,auroc,0.966199,0.957889,0.972845
