run_name,hidden_dim,depth,dropout,init_lr,class_weighting,val_macro_f1
run_3b6c4c9b82,300,5,0.2,0.0001,none,0.8254191339975087
run_f2ed696e5a,300,5,0.0,0.0001,none,0.8170010260598962
run_ea0efe4c3c,300,5,0.2,0.0001,sqrt_inverse_frequency,0.8042339478030174
run_f4a5dce646,300,3,0.0,0.0001,none,0.8003234342075523
run_d73f1c4b3a,300,3,0.2,0.0001,none,0.7892522691343127
run_bce7b095b5,300,3,0.0,0.0001,sqrt_inverse_frequency,0.7755429448736075
run_cca7f87579,300,5,0.0,0.0001,sqrt_inverse_frequency,0.7707059049970432
run_dcf0f28310,300,3,0.2,0.0001,sqrt_inverse_frequency,0.7640583039353658
run_0181819411,300,3,0.0,0.0001,inverse_frequency,0.7585767240167621
run_f2b61cb804,300,5,0.2,0.0001,inverse_frequency,0.7132206421902675
run_a3824f1812,300,5,0.0,0.0001,inverse_frequency,0.7107351060742517
run_45520e5852,300,3,0.2,0.0001,inverse_frequency,0.6960623802253886
