group,model,pw_acc_fart,ci_lo_fart,ci_hi_fart,pw_acc_tastegnn,ci_lo_tastegnn,ci_hi_tastegnn,delta
Unsupervised,MMRF (cosine),0.5743,0.5278,0.6353,0.5455,0.4936,0.6016,-0.0289
Unsupervised,MMRF (L2),0.5706,0.5235,0.6323,0.5562,0.5086,0.6123,-0.0144
Supervised - linear,Ridge,0.5791,0.5342,0.6318,0.5856,0.5390,0.6439,+0.0064
Supervised - pairwise,Bradley-Terry,0.6102,0.5706,0.6610,0.6155,0.5797,0.6690,+0.0053
Supervised - pairwise,Hierarchical BT,0.6134,0.5701,0.6701,0.6241,0.5813,0.6840,+0.0107
Supervised - pairwise,Kernel RankSVM,0.6176,0.5791,0.6743,0.5973,0.5556,0.6542,-0.0203
Supervised - nonlinear,LightGBM,0.5578,0.5086,0.6150,0.5588,0.5091,0.6172,+0.0011
Ensemble (BT + Gemini),NNLS,0.6829,0.6540,0.7401,0.6348,0.5936,0.6915,-0.0481
Ensemble (BT + Gemini),Rank average,0.6706,0.6406,0.7251,0.6262,0.5845,0.6817,-0.0444
Ensemble (BT + Gemini),Mean,0.6230,0.5866,0.6746,0.5535,0.5043,0.6091,-0.0695
