model,class,support,precision_point,precision_ci_lo,precision_ci_hi,recall_point,recall_ci_lo,recall_ci_hi,f1_point,f1_ci_lo,f1_ci_hi,auroc_point,auroc_ci_lo,auroc_ci_hi
FART,sweet,1473,0.9443,0.9313,0.9548,0.9430,0.9303,0.9542,0.9436,0.9347,0.9517,0.9790,0.9734,0.9833
FART,bitter,233,0.8557,0.8010,0.9011,0.7124,0.6512,0.7674,0.7775,0.7308,0.8183,0.9513,0.9319,0.9648
FART,sour,238,0.8971,0.8526,0.9308,0.9160,0.8745,0.9474,0.9064,0.8765,0.9311,0.9949,0.9921,0.9968
FART,umami,6,1.0000,0.0000,1.0000,0.3333,0.0000,0.8000,0.5000,0.0000,0.9091,0.9887,0.9751,0.9993
FART,undefined,304,0.6977,0.6477,0.7457,0.7895,0.7418,0.8339,0.7407,0.7021,0.7783,0.9581,0.9455,0.9672
GNN,sweet,1473,0.9448,0.9323,0.9557,0.9532,0.9414,0.9633,0.9490,0.9404,0.9568,0.9807,0.9748,0.9851
GNN,bitter,233,0.8693,0.8168,0.9119,0.7425,0.6829,0.7961,0.8009,0.7568,0.8395,0.9578,0.9394,0.9704
GNN,sour,238,0.9061,0.8636,0.9373,0.9328,0.8941,0.9597,0.9193,0.8911,0.9422,0.9958,0.9928,0.9975
GNN,umami,6,0.6667,0.0000,1.0000,0.6667,0.0000,1.0000,0.6667,0.0000,0.8889,0.9880,0.9265,1.0000
GNN,undefined,304,0.7358,0.6856,0.7827,0.7697,0.7201,0.8158,0.7524,0.7131,0.7897,0.9662,0.9579,0.9728
